mes,canal,inversion
2024-11,Contenido e influenciadores,1881000.0
2024-11,Beneficios de Mi Círculo,0.0
2024-12,Google y SEO,6222000.0
2024-12,Instagram y Meta,4256000.0
2024-12,Eventos y experiencias,9168000.0
2024-12,Contenido e influenciadores,2193000.0
2024-12,Beneficios de Mi Círculo,0.0
2025-01,Google y SEO,4233000.0
2025-01,Instagram y Meta,2911000.0
2025-01,Eventos y experiencias,5514000.0
2025-01,Contenido e influenciadores,2097000.0
2025-01,Beneficios de Mi Círculo,0.0
2025-02,Google y SEO,6521000.0
2025-02,Instagram y Meta,4687000.0
2025-02,Eventos y experiencias,5508000.0
2025-02,Contenido e influenciadores,2095000.0
2025-02,Beneficios de Mi Círculo,0.0
2025-03,Google y SEO,9283000.0
2025-03,Instagram y Meta,5469000.0
2025-03,Eventos y experiencias,4933000.0
2025-03,Contenido e influenciadores,2373000.0
2025-03,Beneficios de Mi Círculo,0.0
2025-04,Google y SEO,10730000.0
2025-04,Instagram y Meta,7361000.0
2025-04,Eventos y experiencias,5890000.0
2025-04,Contenido e influenciadores,2447000.0
2025-04,Beneficios de Mi Círculo,0.0
2025-05,Google y SEO,13413000.0
2025-05,Instagram y Meta,8811000.0
2025-05,Eventos y experiencias,5298000.0
2025-05,Contenido e influenciadores,2426000.0
2025-05,Beneficios de Mi Círculo,0.0
2025-06,Google y SEO,15240000.0
2025-06,Instagram y Meta,10608000.0
2025-06,Eventos y experiencias,5957000.0
2025-06,Contenido e influenciadores,2678000.0
2025-06,Beneficios de Mi Círculo,0.0
2025-07,Google y SEO,14471000.0
2025-07,Instagram y Meta,9259000.0
2025-07,Eventos y experiencias,5829000.0
2025-07,Contenido e influenciadores,2552000.0
2025-07,Beneficios de Mi Círculo,0.0
2025-08,Google y SEO,16550000.0
2025-08,Instagram y Meta,9129000.0
2025-08,Eventos y experiencias,6047000.0
2025-08,Contenido e influenciadores,2853000.0
2025-08,Beneficios de Mi Círculo,0.0
2025-09,Google y SEO,17799000.0
2025-09,Instagram y Meta,12653000.0
2025-09,Eventos y experiencias,32815000.0
2025-09,Contenido e influenciadores,2611000.0
2025-09,Beneficios de Mi Círculo,0.0
2025-10,Google y SEO,18932000.0
2025-10,Instagram y Meta,12224000.0
2025-10,Eventos y experiencias,6260000.0
2025-10,Contenido e influenciadores,2479000.0
2025-10,Beneficios de Mi Círculo,0.0
2025-11,Google y SEO,21629000.0
2025-11,Instagram y Meta,12681000.0
2025-11,Eventos y experiencias,6857000.0
2025-11,Contenido e influenciadores,2789000.0
2025-11,Beneficios de Mi Círculo,0.0
2025-12,Google y SEO,28869000.0
2025-12,Instagram y Meta,16017000.0
2025-12,Eventos y experiencias,11627000.0
2025-12,Contenido e influenciadores,2610000.0
2025-12,Beneficios de Mi Círculo,0.0
2026-01,Google y SEO,13781000.0
2026-01,Instagram y Meta,9456000.0
2026-01,Eventos y experiencias,6086000.0
2026-01,Contenido e influenciadores,3208000.0
2026-01,Beneficios de Mi Círculo,0.0
2026-02,Google y SEO,16698000.0
2026-02,Instagram y Meta,9170000.0
2026-02,Eventos y experiencias,7234000.0
2026-02,Contenido e influenciadores,2805000.0
2026-02,Beneficios de Mi Círculo,0.0
2026-03,Google y SEO,16305000.0
2026-03,Instagram y Meta,10592000.0
2026-03,Eventos y experiencias,6188000.0
2026-03,Contenido e influenciadores,3421000.0
2026-03,Beneficios de Mi Círculo,0.0
2026-04,Google y SEO,17176000.0
2026-04,Instagram y Meta,11180000.0
2026-04,Eventos y experiencias,6328000.0
2026-04,Contenido e influenciadores,3158000.0
2026-04,Beneficios de Mi Círculo,0.0
2026-05,Google y SEO,17527000.0
2026-05,Instagram y Meta,12698000.0
2026-05,Eventos y experiencias,7542000.0
2026-05,Contenido e influenciadores,3057000.0
2026-05,Beneficios de Mi Círculo,0.0
2026-06,Google y SEO,18493000.0
2026-06,Instagram y Meta,12741000.0
2026-06,Eventos y experiencias,7156000.0
2026-06,Contenido e influenciadores,3045000.0
2026-06,Beneficios de Mi Círculo,0.0
2026-07,Google y SEO,15129000.0
2026-07,Instagram y Meta,10986000.0
2026-07,Eventos y experiencias,7541000.0
2026-07,Contenido e influenciadores,3173000.0
2026-07,Beneficios de Mi Círculo,0.0
2026-08,Google y SEO,15159000.0
2026-08,Instagram y Meta,9732000.0
2026-08,Eventos y experiencias,7765000.0
2026-08,Contenido e influenciadores,3828000.0
2026-08,Beneficios de Mi Círculo,0.0
