mes,canal,ciudad,presupuesto,real,cumplimiento,brecha
2024-11,Discotecas,Medellín,6642322,0.0,0.0,-6642322.0
2024-12,Discotecas,Medellín,6588180,0.0,0.0,-6588180.0
2025-01,Discotecas,Medellín,6663770,0.0,0.0,-6663770.0
2025-02,Discotecas,Medellín,6422435,0.0,0.0,-6422435.0
2025-03,Discotecas,Medellín,7034181,0.0,0.0,-7034181.0
2025-04,Discotecas,Medellín,6749610,0.0,0.0,-6749610.0
2025-05,Discotecas,Medellín,6689803,0.0,0.0,-6689803.0
2025-06,Discotecas,Medellín,6714775,0.0,0.0,-6714775.0
2025-07,Discotecas,Medellín,7305237,0.0,0.0,-7305237.0
2025-08,Discotecas,Medellín,7195684,0.0,0.0,-7195684.0
2025-09,Discotecas,Medellín,6657660,0.0,0.0,-6657660.0
2025-10,Discotecas,Medellín,6561608,0.0,0.0,-6561608.0
2025-11,Discotecas,Medellín,6576218,0.0,0.0,-6576218.0
2025-12,Discotecas,Medellín,6941545,0.0,0.0,-6941545.0
2026-01,Discotecas,Medellín,6907743,0.0,0.0,-6907743.0
2026-02,Discotecas,Medellín,7251650,0.0,0.0,-7251650.0
2026-03,Discotecas,Medellín,3983574,3368017.0,84.5,-615557.0
2026-04,Discotecas,Medellín,4847875,8860662.0,182.8,4012787.0
2026-05,Discotecas,Medellín,2768752,17682566.0,638.6,14913814.0
2026-06,Discotecas,Medellín,3092582,20069938.0,649.0,16977356.0
2026-07,Discotecas,Medellín,3809651,23858175.0,626.3,20048524.0
2026-08,Discotecas,Medellín,3897130,25825745.0,662.7,21928615.0
2024-09,Clubes sociales,Bogotá,8660148,0.0,0.0,-8660148.0
2024-10,Clubes sociales,Bogotá,9128344,0.0,0.0,-9128344.0
2024-11,Clubes sociales,Bogotá,9651851,0.0,0.0,-9651851.0
2024-12,Clubes sociales,Bogotá,10086794,0.0,0.0,-10086794.0
2025-01,Clubes sociales,Bogotá,1293336,1005785.0,77.8,-287551.0
2025-02,Clubes sociales,Bogotá,1889613,2241238.0,118.6,351625.0
2025-03,Clubes sociales,Bogotá,3180142,4657614.0,146.5,1477472.0
2025-04,Clubes sociales,Bogotá,6275997,9074248.0,144.6,2798251.0
2025-05,Clubes sociales,Bogotá,7235053,4639693.0,64.1,-2595360.0
2025-06,Clubes sociales,Bogotá,9361434,7415727.0,79.2,-1945707.0
2025-07,Clubes sociales,Bogotá,7284662,6695007.0,91.9,-589655.0
2025-08,Clubes sociales,Bogotá,10025025,12672075.0,126.4,2647050.0
2025-09,Clubes sociales,Bogotá,11398533,12032089.0,105.6,633556.0
2025-10,Clubes sociales,Bogotá,12826587,7400029.0,57.7,-5426558.0
2025-11,Clubes sociales,Bogotá,9705116,14662798.0,151.1,4957682.0
2025-12,Clubes sociales,Bogotá,9974673,35042013.0,351.3,25067340.0
2026-01,Clubes sociales,Bogotá,1247436,10505577.0,842.2,9258141.0
2026-02,Clubes sociales,Bogotá,2552867,12683294.0,496.8,10130427.0
2026-03,Clubes sociales,Bogotá,5731472,13664265.0,238.4,7932793.0
2026-04,Clubes sociales,Bogotá,10374171,25360660.0,244.5,14986489.0
2026-05,Clubes sociales,Bogotá,5326060,34317199.0,644.3,28991139.0
2026-06,Clubes sociales,Bogotá,8579313,49295481.0,574.6,40716168.0
2026-07,Clubes sociales,Bogotá,7883175,57866605.0,734.1,49983430.0
2026-08,Clubes sociales,Bogotá,15398676,48263085.0,313.4,32864409.0
2024-09,Clubes sociales,Medellín,6199421,0.0,0.0,-6199421.0
2024-10,Clubes sociales,Medellín,5309210,0.0,0.0,-5309210.0
2024-11,Clubes sociales,Medellín,6237285,0.0,0.0,-6237285.0
2024-12,Clubes sociales,Medellín,5490589,0.0,0.0,-5490589.0
2025-01,Clubes sociales,Medellín,6198213,0.0,0.0,-6198213.0
2025-02,Clubes sociales,Medellín,5887901,0.0,0.0,-5887901.0
2025-03,Clubes sociales,Medellín,5371847,0.0,0.0,-5371847.0
2025-04,Clubes sociales,Medellín,5743305,0.0,0.0,-5743305.0
2025-05,Clubes sociales,Medellín,6133200,0.0,0.0,-6133200.0
2025-06,Clubes sociales,Medellín,6155636,0.0,0.0,-6155636.0
2025-07,Clubes sociales,Medellín,5587245,0.0,0.0,-5587245.0
2025-08,Clubes sociales,Medellín,5592775,0.0,0.0,-5592775.0
2025-09,Clubes sociales,Medellín,6023319,0.0,0.0,-6023319.0
2025-10,Clubes sociales,Medellín,5710007,0.0,0.0,-5710007.0
2025-11,Clubes sociales,Medellín,6053361,0.0,0.0,-6053361.0
2025-12,Clubes sociales,Medellín,6043363,0.0,0.0,-6043363.0
2026-01,Clubes sociales,Medellín,6044103,0.0,0.0,-6044103.0
2026-02,Clubes sociales,Medellín,5381629,0.0,0.0,-5381629.0
2026-03,Clubes sociales,Medellín,1939025,1704886.0,87.9,-234139.0
2026-04,Clubes sociales,Medellín,2642332,2416526.0,91.5,-225806.0
2026-05,Clubes sociales,Medellín,1961612,1106879.0,56.4,-854733.0
2026-06,Clubes sociales,Medellín,3131475,14365207.0,458.7,11233732.0
2026-07,Clubes sociales,Medellín,1371358,18471500.0,1346.9,17100142.0
2026-08,Clubes sociales,Medellín,1566083,17995439.0,1149.1,16429356.0
2024-09,Empresas,Bogotá,10966326,0.0,0.0,-10966326.0
2024-10,Empresas,Bogotá,3604103,2925291.0,81.2,-678812.0
2024-11,Empresas,Bogotá,6520642,13756762.0,211.0,7236120.0
2024-12,Empresas,Bogotá,13603402,42712543.0,314.0,29109141.0
2025-01,Empresas,Bogotá,9036905,10794245.0,119.4,1757340.0
2025-02,Empresas,Bogotá,7364470,41076775.0,557.8,33712305.0
2025-03,Empresas,Bogotá,8167030,29359500.0,359.5,21192470.0
2025-04,Empresas,Bogotá,5343651,28857274.0,540.0,23513623.0
2025-05,Empresas,Bogotá,5445118,31112570.0,571.4,25667452.0
2025-06,Empresas,Bogotá,5889310,60258315.0,1023.2,54369005.0
2025-07,Empresas,Bogotá,5528468,56981324.0,1030.7,51452856.0
2025-08,Empresas,Bogotá,5687962,70912058.0,1246.7,65224096.0
2025-09,Empresas,Bogotá,6927269,55073496.0,795.0,48146227.0
2025-10,Empresas,Bogotá,3634391,78782409.0,2167.7,75148018.0
2025-11,Empresas,Bogotá,15423554,108775757.0,705.3,93352203.0
2025-12,Empresas,Bogotá,56912138,162269798.0,285.1,105357660.0
2026-01,Empresas,Bogotá,12926340,49582878.0,383.6,36656538.0
2026-02,Empresas,Bogotá,50109317,50190537.0,100.2,81220.0
2026-03,Empresas,Bogotá,34346646,69972570.0,203.7,35625924.0
2026-04,Empresas,Bogotá,37773910,76460821.0,202.4,38686911.0
2026-05,Empresas,Bogotá,38412021,84214246.0,219.2,45802225.0
2026-06,Empresas,Bogotá,68033453,104357472.0,153.4,36324019.0
2026-07,Empresas,Bogotá,68982760,96241297.0,139.5,27258537.0
2026-08,Empresas,Bogotá,91248125,87354861.0,95.7,-3893264.0
2024-09,Empresas,Medellín,4293294,0.0,0.0,-4293294.0
2024-10,Empresas,Medellín,4429011,0.0,0.0,-4429011.0
2024-11,Empresas,Medellín,4643413,0.0,0.0,-4643413.0
2024-12,Empresas,Medellín,4423515,0.0,0.0,-4423515.0
2025-01,Empresas,Medellín,4624237,0.0,0.0,-4624237.0
2025-02,Empresas,Medellín,4431090,0.0,0.0,-4431090.0
2025-03,Empresas,Medellín,4103208,0.0,0.0,-4103208.0
2025-04,Empresas,Medellín,4338598,0.0,0.0,-4338598.0
2025-05,Empresas,Medellín,4609440,0.0,0.0,-4609440.0
2025-06,Empresas,Medellín,4264803,0.0,0.0,-4264803.0
2025-07,Empresas,Medellín,4123417,0.0,0.0,-4123417.0
2025-08,Empresas,Medellín,4450974,0.0,0.0,-4450974.0
2025-09,Empresas,Medellín,4597267,0.0,0.0,-4597267.0
2025-10,Empresas,Medellín,4197540,0.0,0.0,-4197540.0
2025-11,Empresas,Medellín,4726450,0.0,0.0,-4726450.0
2025-12,Empresas,Medellín,4428573,0.0,0.0,-4428573.0
2026-01,Empresas,Medellín,4613562,0.0,0.0,-4613562.0
2026-02,Empresas,Medellín,4523722,0.0,0.0,-4523722.0
2026-03,Empresas,Medellín,4651037,0.0,0.0,-4651037.0
2026-04,Empresas,Medellín,1835791,1625314.0,88.5,-210477.0
2026-05,Empresas,Medellín,3174380,3538600.0,111.5,364220.0
2026-06,Empresas,Medellín,4403837,6709573.0,152.4,2305736.0
2026-07,Empresas,Medellín,3752617,7156626.0,190.7,3404009.0
2026-08,Empresas,Medellín,3066248,10071177.0,328.5,7004929.0
