trimestre,marca,exclusiva,cuota,unidades,cumplimiento,tasa_rebate,compra,rebate,faltan_para_siguiente,siguiente_tramo,bonificadas,costo_bonificacion
2025-T4,Pernod Ricard,False,2600,4686,180.2,0.055,445170000.0,24484350,0,,244,23180000.0
2025-T4,Ron Defensor,True,800,1188,148.5,0.08,112860000.0,9028800,0,,51,4845000.0
2026-T1,Bacardí,False,1500,1255,83.7,0.0,53714000.0,0,125,0.012,66,2824800.0
2026-T1,Diageo,False,2200,1828,83.1,0.0,173660000.0,0,152,0.015,93,8835000.0
2026-T1,Marcel Thorel,True,450,382,84.9,0.0,36290000.0,0,23,0.03,21,1995000.0
2026-T1,Mil Demonios,True,1200,1060,88.3,0.02,48841267.0,976825,140,0.055,27,1244070.0
2026-T1,Pernod Ricard,False,2600,2223,85.5,0.0,211185000.0,0,117,0.015,79,7505000.0
2026-T1,Ron Defensor,True,800,605,75.6,0.0,57475000.0,0,75,0.02,27,2565000.0
2026-T2,Bacardí,False,1500,1423,94.9,0.012,60904400.0,730853,77,0.03,81,3466800.0
2026-T2,Diageo,False,2200,2144,97.5,0.015,203680000.0,3055200,56,0.04,112,10640000.0
2026-T2,Marcel Thorel,True,450,366,81.3,0.0,34770000.0,0,39,0.03,19,1805000.0
2026-T2,Mil Demonios,True,1200,1302,108.5,0.055,59991820.0,3299550,78,0.085,63,2902830.0
2026-T2,Pernod Ricard,False,2600,2568,98.8,0.015,243960000.0,3659400,32,0.035,159,15105000.0
2026-T2,Ron Defensor,True,800,875,109.4,0.05,83125000.0,4156250,85,0.08,40,3800000.0
2026-T3,Bacardí,False,1500,975,65.0,0.0,41730000.0,0,405,0.012,61,2610800.0
2026-T3,Diageo,False,2200,1546,70.3,0.0,146870000.0,0,434,0.015,105,9975000.0
2026-T3,Marcel Thorel,True,450,291,64.7,0.0,27645000.0,0,114,0.03,20,1900000.0
2026-T3,Mil Demonios,True,1200,805,67.1,0.0,37091717.0,0,215,0.02,48,2211680.0
2026-T3,Pernod Ricard,False,2600,1701,65.4,0.0,161595000.0,0,639,0.015,83,7885000.0
2026-T3,Ron Defensor,True,800,450,56.2,0.0,42750000.0,0,230,0.02,25,2375000.0
