mes,trimestre,marca,exclusiva,unidades,bonificadas,cuota_mes,costo_unit,compra,costo_bonificacion
2025-03,2025-T1,Ron Defensor,True,284,7,267,95000.0,26980000,665000
2025-03,2025-T1,Marcel Thorel,True,103,2,150,95000.0,9785000,190000
2025-03,2025-T1,Pernod Ricard,False,631,14,867,95000.0,59945000,1330000
2025-03,2025-T1,Diageo,False,655,18,733,95000.0,62225000,1710000
2025-03,2025-T1,Bacardí,False,406,22,500,42800.0,17376800,941600
2025-04,2025-T2,Mil Demonios,True,278,18,400,46076.666666666664,12809313,829380
2025-04,2025-T2,Ron Defensor,True,299,17,267,95000.0,28405000,1615000
2025-04,2025-T2,Marcel Thorel,True,102,6,150,95000.0,9690000,570000
2025-04,2025-T2,Pernod Ricard,False,786,14,867,95000.0,74670000,1330000
2025-04,2025-T2,Diageo,False,583,38,733,95000.0,55385000,3610000
2025-04,2025-T2,Bacardí,False,499,30,500,42800.0,21357200,1284000
2025-05,2025-T2,Mil Demonios,True,380,17,400,46076.666666666664,17509133,783303
2025-05,2025-T2,Ron Defensor,True,247,4,267,95000.0,23465000,380000
2025-05,2025-T2,Marcel Thorel,True,178,11,150,95000.0,16910000,1045000
2025-05,2025-T2,Pernod Ricard,False,923,47,867,95000.0,87685000,4465000
2025-05,2025-T2,Diageo,False,714,43,733,95000.0,67830000,4085000
2025-05,2025-T2,Bacardí,False,383,17,500,42800.0,16392400,727600
2025-06,2025-T2,Mil Demonios,True,336,10,400,46076.666666666664,15481760,460767
2025-06,2025-T2,Ron Defensor,True,327,24,267,95000.0,31065000,2280000
2025-06,2025-T2,Marcel Thorel,True,187,13,150,95000.0,17765000,1235000
2025-06,2025-T2,Pernod Ricard,False,1019,58,867,95000.0,96805000,5510000
2025-06,2025-T2,Diageo,False,623,43,733,95000.0,59185000,4085000
2025-06,2025-T2,Bacardí,False,531,17,500,42800.0,22726800,727600
2025-07,2025-T3,Mil Demonios,True,357,8,400,46076.666666666664,16449370,368613
2025-07,2025-T3,Ron Defensor,True,220,7,267,95000.0,20900000,665000
2025-07,2025-T3,Marcel Thorel,True,172,9,150,95000.0,16340000,855000
2025-07,2025-T3,Pernod Ricard,False,1017,62,867,95000.0,96615000,5890000
2025-07,2025-T3,Diageo,False,627,12,733,95000.0,59565000,1140000
2025-07,2025-T3,Bacardí,False,502,14,500,42800.0,21485600,599200
2025-08,2025-T3,Mil Demonios,True,468,13,400,46076.666666666664,21563880,598997
2025-08,2025-T3,Ron Defensor,True,278,14,267,95000.0,26410000,1330000
2025-08,2025-T3,Marcel Thorel,True,140,5,150,95000.0,13300000,475000
2025-08,2025-T3,Pernod Ricard,False,624,17,867,95000.0,59280000,1615000
2025-08,2025-T3,Diageo,False,602,30,733,95000.0,57190000,2850000
2025-08,2025-T3,Bacardí,False,572,27,500,42800.0,24481600,1155600
2025-09,2025-T3,Mil Demonios,True,385,19,400,46076.666666666664,17739517,875457
2025-09,2025-T3,Ron Defensor,True,207,7,267,95000.0,19665000,665000
2025-09,2025-T3,Marcel Thorel,True,133,8,150,95000.0,12635000,760000
2025-09,2025-T3,Pernod Ricard,False,783,57,867,95000.0,74385000,5415000
2025-09,2025-T3,Diageo,False,752,55,733,95000.0,71440000,5225000
2025-09,2025-T3,Bacardí,False,625,45,500,42800.0,26750000,1926000
2025-10,2025-T4,Mil Demonios,True,375,19,400,46076.666666666664,17278750,875457
2025-10,2025-T4,Ron Defensor,True,276,17,267,95000.0,26220000,1615000
2025-10,2025-T4,Marcel Thorel,True,147,6,150,95000.0,13965000,570000
2025-10,2025-T4,Pernod Ricard,False,1001,58,867,95000.0,95095000,5510000
2025-10,2025-T4,Diageo,False,693,13,733,95000.0,65835000,1235000
2025-10,2025-T4,Bacardí,False,566,40,500,42800.0,24224800,1712000
2025-11,2025-T4,Mil Demonios,True,682,28,400,46076.666666666664,31424287,1290147
2025-11,2025-T4,Ron Defensor,True,409,15,267,95000.0,38855000,1425000
2025-11,2025-T4,Marcel Thorel,True,266,7,150,95000.0,25270000,665000
2025-11,2025-T4,Pernod Ricard,False,1188,77,867,95000.0,112860000,7315000
2025-11,2025-T4,Diageo,False,1343,69,733,95000.0,127585000,6555000
2025-11,2025-T4,Bacardí,False,826,45,500,42800.0,35352800,1926000
2025-12,2025-T4,Mil Demonios,True,837,48,400,46076.666666666664,38566170,2211680
2025-12,2025-T4,Ron Defensor,True,503,19,267,95000.0,47785000,1805000
2025-12,2025-T4,Marcel Thorel,True,343,24,150,95000.0,32585000,2280000
2025-12,2025-T4,Pernod Ricard,False,2497,109,867,95000.0,237215000,10355000
2025-12,2025-T4,Diageo,False,1613,114,733,95000.0,153235000,10830000
2025-12,2025-T4,Bacardí,False,1297,68,500,42800.0,55511600,2910400
2026-01,2026-T1,Mil Demonios,True,313,8,400,46076.666666666664,14421997,368613
2026-01,2026-T1,Ron Defensor,True,220,4,267,95000.0,20900000,380000
2026-01,2026-T1,Marcel Thorel,True,133,9,150,95000.0,12635000,855000
2026-01,2026-T1,Pernod Ricard,False,657,46,867,95000.0,62415000,4370000
2026-01,2026-T1,Diageo,False,510,32,733,95000.0,48450000,3040000
2026-01,2026-T1,Bacardí,False,354,19,500,42800.0,15151200,813200
2026-02,2026-T1,Mil Demonios,True,374,9,400,46076.666666666664,17232673,414690
2026-02,2026-T1,Ron Defensor,True,180,12,267,95000.0,17100000,1140000
2026-02,2026-T1,Marcel Thorel,True,112,8,150,95000.0,10640000,760000
2026-02,2026-T1,Pernod Ricard,False,704,16,867,95000.0,66880000,1520000
2026-02,2026-T1,Diageo,False,633,26,733,95000.0,60135000,2470000
2026-02,2026-T1,Bacardí,False,466,22,500,42800.0,19944800,941600
2026-03,2026-T1,Mil Demonios,True,373,10,400,46076.666666666664,17186597,460767
2026-03,2026-T1,Ron Defensor,True,205,11,267,95000.0,19475000,1045000
2026-03,2026-T1,Marcel Thorel,True,137,4,150,95000.0,13015000,380000
2026-03,2026-T1,Pernod Ricard,False,862,17,867,95000.0,81890000,1615000
2026-03,2026-T1,Diageo,False,685,35,733,95000.0,65075000,3325000
2026-03,2026-T1,Bacardí,False,435,25,500,42800.0,18618000,1070000
2026-04,2026-T2,Mil Demonios,True,441,10,400,46076.666666666664,20319810,460767
2026-04,2026-T2,Ron Defensor,True,282,5,267,95000.0,26790000,475000
2026-04,2026-T2,Marcel Thorel,True,107,7,150,95000.0,10165000,665000
2026-04,2026-T2,Pernod Ricard,False,795,35,867,95000.0,75525000,3325000
2026-04,2026-T2,Diageo,False,676,28,733,95000.0,64220000,2660000
2026-04,2026-T2,Bacardí,False,432,20,500,42800.0,18489600,856000
2026-05,2026-T2,Mil Demonios,True,377,23,400,46076.666666666664,17370903,1059763
2026-05,2026-T2,Ron Defensor,True,315,15,267,95000.0,29925000,1425000
2026-05,2026-T2,Marcel Thorel,True,113,8,150,95000.0,10735000,760000
2026-05,2026-T2,Pernod Ricard,False,952,65,867,95000.0,90440000,6175000
2026-05,2026-T2,Diageo,False,749,41,733,95000.0,71155000,3895000
2026-05,2026-T2,Bacardí,False,410,21,500,42800.0,17548000,898800
2026-06,2026-T2,Mil Demonios,True,484,30,400,46076.666666666664,22301107,1382300
2026-06,2026-T2,Ron Defensor,True,278,20,267,95000.0,26410000,1900000
2026-06,2026-T2,Marcel Thorel,True,146,4,150,95000.0,13870000,380000
2026-06,2026-T2,Pernod Ricard,False,821,59,867,95000.0,77995000,5605000
2026-06,2026-T2,Diageo,False,719,43,733,95000.0,68305000,4085000
2026-06,2026-T2,Bacardí,False,581,40,500,42800.0,24866800,1712000
2026-07,2026-T3,Mil Demonios,True,465,24,400,46076.666666666664,21425650,1105840
2026-07,2026-T3,Ron Defensor,True,241,14,267,95000.0,22895000,1330000
2026-07,2026-T3,Marcel Thorel,True,116,8,150,95000.0,11020000,760000
2026-07,2026-T3,Pernod Ricard,False,1037,52,867,95000.0,98515000,4940000
2026-07,2026-T3,Diageo,False,841,57,733,95000.0,79895000,5415000
2026-07,2026-T3,Bacardí,False,526,36,500,42800.0,22512800,1540800
2026-08,2026-T3,Mil Demonios,True,340,24,400,46076.666666666664,15666067,1105840
2026-08,2026-T3,Ron Defensor,True,209,11,267,95000.0,19855000,1045000
2026-08,2026-T3,Marcel Thorel,True,175,12,150,95000.0,16625000,1140000
2026-08,2026-T3,Pernod Ricard,False,664,31,867,95000.0,63080000,2945000
2026-08,2026-T3,Diageo,False,705,48,733,95000.0,66975000,4560000
2026-08,2026-T3,Bacardí,False,449,25,500,42800.0,19217200,1070000
