cotizacion_id,empresa,sector,tipo,fecha_cotizacion,fecha_entrega,valor_cotizado,unidades,estado,motivo_perdida,probabilidad,ingreso_neto,costo_mercancia,empaque_personalizado,dias_pago
Q-00014,Empresa C-0577,Inmobiliario y construcción,Boda o celebración privada,2022-01-30,2022-03-14,5201000.0,29,Perdida,Sin respuesta del cliente,,0.0,0.0,0.0,60
Q-00015,Empresa C-0015,Inmobiliario y construcción,Regalos de fin de año,2022-02-07,2022-03-12,2527000.0,17,Perdida,Cobertura fuera de Bogotá,,0.0,0.0,0.0,60
Q-00016,Empresa C-0017,Consultoría y legal,Obsequios a clientes,2022-02-20,2022-03-24,1682000.0,8,Perdida,Tiempo de entrega,,0.0,0.0,0.0,60
Q-00017,Empresa C-0330,Tecnología,Evento corporativo,2022-02-24,2022-03-19,600000.0,4,Ganada,,,571000.0,445000.0,26000.0,30
Q-00018,Empresa C-0640,Gremios y asociaciones,Regalos de fin de año,2022-03-01,2022-04-10,4894000.0,35,Perdida,Precio,,0.0,0.0,0.0,60
Q-00019,Empresa C-0613,Consultoría y legal,Regalos de fin de año,2022-03-07,2022-04-17,11258000.0,80,Perdida,Se fue con el proveedor de siempre,,0.0,0.0,0.0,30
Q-00020,Empresa C-0003,Gremios y asociaciones,Regalos de fin de año,2022-03-27,2022-05-10,7248000.0,45,Perdida,Precio,,0.0,0.0,0.0,45
Q-00021,Empresa C-0578,Consumo masivo,Boda o celebración privada,2022-03-27,2022-04-09,12366000.0,101,Ganada,,,11777000.0,9454000.0,503000.0,30
Q-00022,Empresa C-0204,Consultoría y legal,Regalos de fin de año,2022-03-31,2022-05-09,1563000.0,10,Ganada,,,1489000.0,1124000.0,53000.0,45
Q-00023,Empresa C-0107,Salud,Regalos de fin de año,2022-04-02,2022-04-25,2475000.0,14,Perdida,Sin respuesta del cliente,,0.0,0.0,0.0,30
Q-00024,Empresa C-0018,Energía y minería,Evento corporativo,2022-04-06,2022-04-18,2286000.0,17,Perdida,Tiempo de entrega,,0.0,0.0,0.0,60
Q-00025,Empresa C-0017,Inmobiliario y construcción,Evento corporativo,2022-04-06,2022-05-14,5728000.0,28,Perdida,Precio,,0.0,0.0,0.0,60
Q-00026,Empresa C-0369,Automotriz,Regalos de fin de año,2022-04-12,2022-05-13,4742000.0,24,Ganada,,,4516000.0,3478000.0,224000.0,45
Q-00027,Empresa C-0011,Inmobiliario y construcción,Boda o celebración privada,2022-04-13,2022-05-23,3906000.0,24,Ganada,,,3720000.0,2858000.0,151000.0,30
Q-00028,Empresa C-0041,Energía y minería,Regalos de fin de año,2022-04-14,2022-05-15,6449000.0,31,Perdida,Cobertura fuera de Bogotá,,0.0,0.0,0.0,30
Q-00029,Empresa C-0166,Salud,Boda o celebración privada,2022-04-14,2022-05-03,905000.0,7,Perdida,Sin respuesta del cliente,,0.0,0.0,0.0,30
Q-00030,Empresa C-0454,Educación,Regalos de fin de año,2022-04-16,2022-05-10,8610000.0,45,Perdida,Se fue con el proveedor de siempre,,0.0,0.0,0.0,90
Q-00031,Empresa C-0531,Salud,Regalos de fin de año,2022-04-18,2022-05-12,2612000.0,12,Ganada,,,2488000.0,1944000.0,75000.0,90
Q-00032,Empresa C-0138,Inmobiliario y construcción,Regalos de fin de año,2022-04-21,2022-05-16,650000.0,5,Perdida,Precio,,0.0,0.0,0.0,45
Q-00033,Empresa C-0136,Inmobiliario y construcción,Regalos de fin de año,2022-04-24,2022-06-02,3713000.0,20,Perdida,Tiempo de entrega,,0.0,0.0,0.0,45
Q-00034,Empresa C-0006,Educación,Regalos de fin de año,2022-04-26,2022-05-19,6028000.0,29,Perdida,Se fue con el proveedor de siempre,,0.0,0.0,0.0,90
Q-00035,Empresa C-0355,Tecnología,Regalos de fin de año,2022-04-26,2022-06-05,3211000.0,20,Perdida,Precio,,0.0,0.0,0.0,45
Q-00036,Empresa C-0001,Financiero,Evento corporativo,2022-04-29,2022-06-11,3176000.0,19,Perdida,Se fue con el proveedor de siempre,,0.0,0.0,0.0,45
Q-00037,Empresa C-0389,Salud,Regalos de fin de año,2022-04-30,2022-05-14,1682000.0,8,Perdida,Precio,,0.0,0.0,0.0,90
Q-00038,Empresa C-0006,Automotriz,Evento corporativo,2022-05-13,2022-05-26,8084000.0,51,Perdida,Se fue con el proveedor de siempre,,0.0,0.0,0.0,30
Q-00039,Empresa C-0005,Financiero,Cata privada,2022-05-13,2022-06-17,7624000.0,44,Perdida,Precio,,0.0,0.0,0.0,60
Q-00040,Empresa C-0001,Inmobiliario y construcción,Obsequios a clientes,2022-05-23,2022-06-18,12050000.0,77,Ganada,,,11476000.0,9238000.0,509000.0,30
Q-00041,Empresa C-0127,Educación,Regalos de fin de año,2022-05-28,2022-06-22,14055000.0,81,Ganada,,,13386000.0,9945000.0,545000.0,30
Q-00042,Empresa C-0016,Tecnología,Regalos de fin de año,2022-05-28,2022-07-06,3026000.0,15,Perdida,Precio,,0.0,0.0,0.0,30
Q-00043,Empresa C-0671,Inmobiliario y construcción,Obsequios a clientes,2022-06-04,2022-06-17,2827000.0,15,Perdida,Tiempo de entrega,,0.0,0.0,0.0,30
Q-00044,Empresa C-0085,Automotriz,Cata privada,2022-06-08,2022-06-23,600000.0,4,Perdida,Tiempo de entrega,,0.0,0.0,0.0,45
Q-00045,Empresa C-0080,Financiero,Regalos de fin de año,2022-06-17,2022-11-06,1845000.0,12,Ganada,,,1757000.0,1301000.0,47000.0,45
Q-00046,Empresa C-0595,Tecnología,Boda o celebración privada,2022-06-18,2022-07-02,2017000.0,15,Perdida,Tiempo de entrega,,0.0,0.0,0.0,45
Q-00047,Empresa C-0176,Tecnología,Boda o celebración privada,2022-06-20,2022-07-18,1294000.0,7,Ganada,,,1232000.0,965000.0,47000.0,30
Q-00048,Empresa C-0001,Financiero,Cata privada,2022-06-24,2022-07-23,5537000.0,31,Perdida,Precio,,0.0,0.0,0.0,45
Q-00049,Empresa C-0318,Inmobiliario y construcción,Obsequios a clientes,2022-06-25,2022-07-13,3151000.0,16,Perdida,Cobertura fuera de Bogotá,,0.0,0.0,0.0,45
Q-00050,Empresa C-0199,Financiero,Regalos de fin de año,2022-06-25,2022-07-21,3216000.0,18,Perdida,Tiempo de entrega,,0.0,0.0,0.0,45
Q-00051,Empresa C-0487,Financiero,Regalos de fin de año,2022-06-28,2022-07-09,10422000.0,52,Ganada,,,9926000.0,7711000.0,422000.0,45
Q-00052,Empresa C-0004,Financiero,Regalos de fin de año,2022-06-30,2022-11-06,1331000.0,7,Perdida,Precio,,0.0,0.0,0.0,60
Q-00053,Empresa C-0002,Tecnología,Regalos de fin de año,2022-07-12,2022-11-11,4255000.0,24,Perdida,Se fue con el proveedor de siempre,,0.0,0.0,0.0,90
Q-00054,Empresa C-0011,Gremios y asociaciones,Regalos de fin de año,2022-07-17,2022-11-06,2396000.0,16,Ganada,,,2282000.0,1758000.0,96000.0,60
Q-00055,Empresa C-0014,Consultoría y legal,Regalos de fin de año,2022-07-21,2022-08-17,3795000.0,19,Ganada,,,3614000.0,2883000.0,149000.0,60
Q-00056,Empresa C-0039,Tecnología,Regalos de fin de año,2022-07-21,2022-12-03,3173000.0,19,Ganada,,,3022000.0,2331000.0,102000.0,60
Q-00057,Empresa C-0007,Educación,Regalos de fin de año,2022-07-24,2022-08-06,6037000.0,44,Ganada,,,5750000.0,4267000.0,145000.0,60
Q-00058,Empresa C-0049,Consumo masivo,Regalos de fin de año,2022-07-27,2022-11-08,4624000.0,33,Perdida,Precio,,0.0,0.0,0.0,45
Q-00059,Empresa C-0002,Financiero,Obsequios a clientes,2022-07-30,2022-11-08,4965000.0,41,Ganada,,,4729000.0,3787000.0,206000.0,45
Q-00060,Empresa C-0054,Financiero,Regalos de fin de año,2022-07-30,2022-11-02,6385000.0,46,Perdida,Precio,,0.0,0.0,0.0,60
Q-00061,Empresa C-0356,Consultoría y legal,Regalos de fin de año,2022-08-03,2022-12-17,4527000.0,23,Ganada,,,4311000.0,3456000.0,119000.0,45
Q-00062,Empresa C-0638,Tecnología,Regalos de fin de año,2022-08-04,2022-12-08,24006000.0,182,Perdida,Tiempo de entrega,,0.0,0.0,0.0,30
Q-00063,Empresa C-0006,Energía y minería,Evento corporativo,2022-08-09,2022-11-06,967000.0,8,Perdida,Sin respuesta del cliente,,0.0,0.0,0.0,60
Q-00064,Empresa C-0069,Gremios y asociaciones,Evento corporativo,2022-08-10,2022-09-06,2297000.0,19,Ganada,,,2188000.0,1720000.0,96000.0,45
Q-00065,Empresa C-0002,Tecnología,Regalos de fin de año,2022-08-12,2022-11-03,9110000.0,52,Ganada,,,8676000.0,6581000.0,233000.0,45
Q-00066,Empresa C-0003,Tecnología,Regalos de fin de año,2022-08-13,2022-12-19,5908000.0,35,Perdida,Tiempo de entrega,,0.0,0.0,0.0,30
Q-00067,Empresa C-0010,Tecnología,Obsequios a clientes,2022-08-14,2022-11-17,3846000.0,25,Perdida,Se fue con el proveedor de siempre,,0.0,0.0,0.0,45
Q-00068,Empresa C-0180,Financiero,Regalos de fin de año,2022-08-16,2022-11-17,600000.0,4,Perdida,Precio,,0.0,0.0,0.0,30
Q-00069,Empresa C-0294,Inmobiliario y construcción,Regalos de fin de año,2022-08-17,2022-11-07,1977000.0,14,Ganada,,,1883000.0,1481000.0,84000.0,60
Q-00070,Empresa C-0526,Tecnología,Evento corporativo,2022-08-17,2022-09-04,11202000.0,78,Perdida,Tiempo de entrega,,0.0,0.0,0.0,45
Q-00071,Empresa C-0018,Consumo masivo,Regalos de fin de año,2022-08-17,2022-12-19,3994000.0,28,Perdida,Precio,,0.0,0.0,0.0,45
Q-00072,Empresa C-0218,Salud,Regalos de fin de año,2022-08-18,2022-12-11,5300000.0,27,Ganada,,,5048000.0,3915000.0,161000.0,45
Q-00073,Empresa C-0062,Salud,Regalos de fin de año,2022-08-19,2022-11-01,9202000.0,51,Perdida,Se fue con el proveedor de siempre,,0.0,0.0,0.0,45
Q-00074,Empresa C-0014,Salud,Regalos de fin de año,2022-08-19,2022-11-05,6798000.0,33,Ganada,,,6474000.0,4954000.0,267000.0,30
Q-00075,Empresa C-0543,Automotriz,Evento corporativo,2022-08-24,2022-09-10,1976000.0,15,Perdida,Se fue con el proveedor de siempre,,0.0,0.0,0.0,30
Q-00076,Empresa C-0102,Energía y minería,Regalos de fin de año,2022-08-25,2022-11-15,2164000.0,14,Ganada,,,2061000.0,1567000.0,62000.0,45
Q-00077,Empresa C-0382,Salud,Cata privada,2022-08-26,2022-09-10,6672000.0,37,Ganada,,,6354000.0,4801000.0,190000.0,30
Q-00078,Empresa C-0001,Energía y minería,Regalos de fin de año,2022-08-29,2022-09-11,2855000.0,23,Ganada,,,2719000.0,2018000.0,84000.0,45
Q-00079,Empresa C-0095,Consumo masivo,Obsequios a clientes,2022-09-01,2022-10-08,6113000.0,43,Ganada,,,5822000.0,4496000.0,215000.0,60
Q-00080,Empresa C-0095,Tecnología,Evento corporativo,2022-09-02,2022-09-12,1151000.0,6,Perdida,Se fue con el proveedor de siempre,,0.0,0.0,0.0,60
Q-00081,Empresa C-0022,Financiero,Regalos de fin de año,2022-09-03,2022-12-08,1184000.0,6,Perdida,Precio,,0.0,0.0,0.0,45
Q-00082,Empresa C-0090,Consumo masivo,Boda o celebración privada,2022-09-03,2022-09-24,25074000.0,177,Perdida,Cobertura fuera de Bogotá,,0.0,0.0,0.0,30
Q-00083,Empresa C-0108,Educación,Regalos de fin de año,2022-09-05,2022-09-20,1468000.0,11,Perdida,Sin respuesta del cliente,,0.0,0.0,0.0,60
Q-00084,Empresa C-0048,Energía y minería,Cata privada,2022-09-08,2022-09-18,13961000.0,97,Ganada,,,13296000.0,9856000.0,620000.0,60
Q-00085,Empresa C-0034,Consumo masivo,Regalos de fin de año,2022-09-11,2022-11-08,2457000.0,15,Perdida,Se fue con el proveedor de siempre,,0.0,0.0,0.0,60
Q-00086,Empresa C-0249,Consultoría y legal,Regalos de fin de año,2022-09-13,2022-12-17,5187000.0,43,Perdida,Sin respuesta del cliente,,0.0,0.0,0.0,60
Q-00087,Empresa C-0608,Educación,Regalos de fin de año,2022-09-14,2022-11-17,2455000.0,12,Perdida,Se fue con el proveedor de siempre,,0.0,0.0,0.0,45
Q-00088,Empresa C-0023,Salud,Regalos de fin de año,2022-09-14,2022-11-06,1900000.0,16,Perdida,Tiempo de entrega,,0.0,0.0,0.0,30
Q-00089,Empresa C-0332,Inmobiliario y construcción,Obsequios a clientes,2022-09-15,2022-10-07,4730000.0,26,Ganada,,,4505000.0,3495000.0,172000.0,90
Q-00090,Empresa C-0040,Gremios y asociaciones,Regalos de fin de año,2022-09-19,2022-12-19,1871000.0,11,Perdida,Se fue con el proveedor de siempre,,0.0,0.0,0.0,45
Q-00091,Empresa C-0038,Inmobiliario y construcción,Regalos de fin de año,2022-09-20,2022-12-18,2770000.0,14,Perdida,Precio,,0.0,0.0,0.0,45
Q-00092,Empresa C-0182,Educación,Cata privada,2022-09-21,2022-11-09,7626000.0,61,Perdida,Precio,,0.0,0.0,0.0,60
Q-00093,Empresa C-0431,Financiero,Regalos de fin de año,2022-09-26,2022-11-02,600000.0,5,Perdida,Tiempo de entrega,,0.0,0.0,0.0,30
Q-00094,Empresa C-0083,Financiero,Regalos de fin de año,2022-09-27,2022-10-08,4763000.0,32,Perdida,Se fue con el proveedor de siempre,,0.0,0.0,0.0,60
Q-00095,Empresa C-0060,Financiero,Regalos de fin de año,2022-09-28,2022-12-15,6507000.0,47,Ganada,,,6197000.0,4629000.0,276000.0,90
Q-00096,Empresa C-0005,Consultoría y legal,Regalos de fin de año,2022-09-29,2022-10-25,3602000.0,23,Perdida,Precio,,0.0,0.0,0.0,45
Q-00097,Empresa C-0130,Financiero,Obsequios a clientes,2022-09-29,2022-10-12,1621000.0,10,Ganada,,,1544000.0,1183000.0,41000.0,60
Q-00098,Empresa C-0002,Financiero,Regalos de fin de año,2022-10-01,2022-12-09,3561000.0,18,Perdida,Precio,,0.0,0.0,0.0,45
Q-00099,Empresa C-0001,Automotriz,Regalos de fin de año,2022-10-02,2022-12-14,4395000.0,29,Ganada,,,4186000.0,3376000.0,194000.0,45
Q-00100,Empresa C-0136,Energía y minería,Evento corporativo,2022-10-07,2022-12-16,9472000.0,62,Ganada,,,9021000.0,6910000.0,439000.0,45
Q-00101,Empresa C-0080,Consultoría y legal,Regalos de fin de año,2022-10-08,2022-12-12,7178000.0,42,Perdida,Se fue con el proveedor de siempre,,0.0,0.0,0.0,45
Q-00102,Empresa C-0005,Inmobiliario y construcción,Evento corporativo,2022-10-09,2022-11-23,7382000.0,35,Ganada,,,7030000.0,5587000.0,271000.0,30
Q-00103,Empresa C-0013,Educación,Regalos de fin de año,2022-10-10,2022-11-13,6429000.0,40,Perdida,Precio,,0.0,0.0,0.0,90
Q-00104,Empresa C-0634,Energía y minería,Regalos de fin de año,2022-10-12,2022-12-13,7131000.0,57,Perdida,Se fue con el proveedor de siempre,,0.0,0.0,0.0,45
Q-00105,Empresa C-0001,Automotriz,Obsequios a clientes,2022-10-13,2022-12-06,5847000.0,48,Ganada,,,5569000.0,4286000.0,259000.0,60
Q-00106,Empresa C-0062,Financiero,Regalos de fin de año,2022-10-18,2022-12-17,5617000.0,32,Ganada,,,5350000.0,4141000.0,184000.0,45
Q-00107,Empresa C-0135,Financiero,Regalos de fin de año,2022-10-20,2022-12-11,1951000.0,11,Perdida,Precio,,0.0,0.0,0.0,30
Q-00108,Empresa C-0574,Financiero,Regalos de fin de año,2022-10-20,2022-12-13,4039000.0,25,Ganada,,,3847000.0,2866000.0,109000.0,45
Q-00109,Empresa C-0002,Inmobiliario y construcción,Regalos de fin de año,2022-10-25,2022-12-17,851000.0,4,Perdida,Precio,,0.0,0.0,0.0,45
Q-00110,Empresa C-0040,Gremios y asociaciones,Regalos de fin de año,2022-10-28,2022-12-08,28047000.0,186,Ganada,,,26711000.0,21215000.0,938000.0,45
Q-00111,Empresa C-0050,Tecnología,Regalos de fin de año,2022-11-09,2022-12-08,7262000.0,43,Ganada,,,6916000.0,5216000.0,228000.0,30
Q-00112,Empresa C-0142,Tecnología,Regalos de fin de año,2022-11-12,2022-12-10,890000.0,5,Perdida,Tiempo de entrega,,0.0,0.0,0.0,60
Q-00113,Empresa C-0462,Consumo masivo,Regalos de fin de año,2022-11-19,2023-01-01,1119000.0,6,Perdida,Precio,,0.0,0.0,0.0,60
Q-00114,Empresa C-0538,Consumo masivo,Boda o celebración privada,2022-11-26,2023-01-06,2738000.0,17,Ganada,,,2608000.0,2014000.0,106000.0,30
Q-00115,Empresa C-0130,Consultoría y legal,Regalos de fin de año,2022-12-03,2023-01-11,1567000.0,13,Perdida,Precio,,0.0,0.0,0.0,60
Q-00116,Empresa C-0003,Consultoría y legal,Cata privada,2022-12-15,2023-01-24,4971000.0,28,Ganada,,,4734000.0,3529000.0,164000.0,60
Q-00117,Empresa C-0043,Gremios y asociaciones,Cata privada,2022-12-23,2023-01-11,1029000.0,8,Perdida,Se fue con el proveedor de siempre,,0.0,0.0,0.0,60
Q-00118,Empresa C-0357,Financiero,Regalos de fin de año,2022-12-24,2023-01-09,4713000.0,31,Perdida,Precio,,0.0,0.0,0.0,60
Q-00119,Empresa C-0084,Financiero,Obsequios a clientes,2022-12-24,2023-01-18,600000.0,4,Perdida,Tiempo de entrega,,0.0,0.0,0.0,45
Q-00120,Empresa C-0022,Energía y minería,Boda o celebración privada,2022-12-26,2023-01-16,1165000.0,6,Ganada,,,1110000.0,858000.0,51000.0,45
Q-00121,Empresa C-0018,Consumo masivo,Obsequios a clientes,2022-12-28,2023-01-25,600000.0,5,Ganada,,,571000.0,459000.0,16000.0,45
Q-00122,Empresa C-0031,Consumo masivo,Obsequios a clientes,2022-12-30,2023-02-08,10750000.0,84,Ganada,,,10238000.0,7876000.0,335000.0,60
Q-00123,Empresa C-0044,Consultoría y legal,Obsequios a clientes,2023-01-02,2023-01-16,1028000.0,6,Perdida,Precio,,0.0,0.0,0.0,60
Q-00124,Empresa C-0471,Tecnología,Regalos de fin de año,2023-01-17,2023-01-27,3475000.0,17,Perdida,Sin respuesta del cliente,,0.0,0.0,0.0,90
Q-00125,Empresa C-0654,Gremios y asociaciones,Regalos de fin de año,2023-01-19,2023-03-02,3167000.0,20,Ganada,,,3016000.0,2362000.0,148000.0,45
Q-00126,Empresa C-0002,Automotriz,Boda o celebración privada,2023-01-23,2023-03-05,918000.0,5,Perdida,Se fue con el proveedor de siempre,,0.0,0.0,0.0,45
Q-00127,Empresa C-0434,Consumo masivo,Evento corporativo,2023-01-26,2023-03-11,2164000.0,14,Ganada,,,2061000.0,1588000.0,90000.0,60
Q-00128,Empresa C-0004,Inmobiliario y construcción,Regalos de fin de año,2023-01-27,2023-03-10,5112000.0,34,Perdida,Sin respuesta del cliente,,0.0,0.0,0.0,45
Q-00129,Empresa C-0609,Inmobiliario y construcción,Regalos de fin de año,2023-01-27,2023-03-07,24713000.0,202,Perdida,Precio,,0.0,0.0,0.0,30
Q-00130,Empresa C-0099,Salud,Regalos de fin de año,2023-01-29,2023-03-04,2725000.0,14,Perdida,Precio,,0.0,0.0,0.0,30
Q-00131,Empresa C-0111,Salud,Regalos de fin de año,2023-01-30,2023-02-23,1566000.0,8,Ganada,,,1491000.0,1114000.0,50000.0,60
Q-00132,Empresa C-0015,Tecnología,Boda o celebración privada,2023-02-02,2023-03-02,2899000.0,21,Perdida,Precio,,0.0,0.0,0.0,30
Q-00133,Empresa C-0257,Tecnología,Regalos de fin de año,2023-02-02,2023-03-18,2027000.0,11,Perdida,Tiempo de entrega,,0.0,0.0,0.0,45
Q-00134,Empresa C-0205,Financiero,Regalos de fin de año,2023-02-02,2023-03-17,600000.0,4,Perdida,Sin respuesta del cliente,,0.0,0.0,0.0,45
Q-00135,Empresa C-0068,Tecnología,Regalos de fin de año,2023-02-06,2023-03-12,1684000.0,11,Ganada,,,1604000.0,1294000.0,80000.0,45
Q-00136,Empresa C-0182,Automotriz,Cata privada,2023-02-07,2023-03-07,2679000.0,20,Perdida,Precio,,0.0,0.0,0.0,45
Q-00137,Empresa C-0567,Salud,Regalos de fin de año,2023-02-07,2023-03-20,46180000.0,297,Perdida,Se fue con el proveedor de siempre,,0.0,0.0,0.0,45
Q-00138,Empresa C-0094,Salud,Obsequios a clientes,2023-02-09,2023-03-18,3980000.0,24,Perdida,Se fue con el proveedor de siempre,,0.0,0.0,0.0,60
Q-00139,Empresa C-0318,Tecnología,Regalos de fin de año,2023-02-13,2023-03-09,6782000.0,43,Perdida,Sin respuesta del cliente,,0.0,0.0,0.0,60
Q-00140,Empresa C-0016,Energía y minería,Regalos de fin de año,2023-02-14,2023-03-03,600000.0,5,Ganada,,,571000.0,441000.0,27000.0,30
Q-00141,Empresa C-0671,Consultoría y legal,Regalos de fin de año,2023-02-16,2023-03-03,4936000.0,35,Ganada,,,4701000.0,3619000.0,195000.0,60
Q-00142,Empresa C-0639,Salud,Regalos de fin de año,2023-02-17,2023-03-03,2198000.0,15,Perdida,Precio,,0.0,0.0,0.0,90
Q-00143,Empresa C-0159,Salud,Regalos de fin de año,2023-02-24,2023-03-08,11568000.0,85,Perdida,Se fue con el proveedor de siempre,,0.0,0.0,0.0,45
Q-00144,Empresa C-0237,Consultoría y legal,Boda o celebración privada,2023-03-02,2023-03-17,7291000.0,41,Perdida,Se fue con el proveedor de siempre,,0.0,0.0,0.0,45
Q-00145,Empresa C-0174,Financiero,Obsequios a clientes,2023-03-05,2023-03-23,3325000.0,18,Perdida,Precio,,0.0,0.0,0.0,45
Q-00146,Empresa C-0018,Tecnología,Boda o celebración privada,2023-03-05,2023-03-15,3111000.0,18,Ganada,,,2963000.0,2333000.0,112000.0,45
Q-00147,Empresa C-0011,Tecnología,Regalos de fin de año,2023-03-11,2023-03-25,9223000.0,59,Perdida,Sin respuesta del cliente,,0.0,0.0,0.0,45
Q-00148,Empresa C-0626,Consumo masivo,Cata privada,2023-03-19,2023-05-02,4509000.0,28,Ganada,,,4294000.0,3446000.0,177000.0,30
Q-00149,Empresa C-0339,Inmobiliario y construcción,Boda o celebración privada,2023-03-24,2023-05-03,9227000.0,69,Ganada,,,8788000.0,6819000.0,234000.0,60
Q-00150,Empresa C-0004,Inmobiliario y construcción,Obsequios a clientes,2023-03-25,2023-04-19,6167000.0,46,Ganada,,,5873000.0,4629000.0,245000.0,45
Q-00151,Empresa C-0021,Gremios y asociaciones,Obsequios a clientes,2023-03-29,2023-04-14,10439000.0,54,Ganada,,,9942000.0,7950000.0,418000.0,30
Q-00152,Empresa C-0008,Gremios y asociaciones,Evento corporativo,2023-04-08,2023-05-07,2537000.0,16,Perdida,Precio,,0.0,0.0,0.0,45
Q-00153,Empresa C-0568,Salud,Evento corporativo,2023-04-11,2023-05-09,2897000.0,24,Perdida,Sin respuesta del cliente,,0.0,0.0,0.0,60
Q-00154,Empresa C-0265,Consultoría y legal,Regalos de fin de año,2023-04-11,2023-05-07,6441000.0,42,Ganada,,,6134000.0,4920000.0,294000.0,45
Q-00155,Empresa C-0340,Consultoría y legal,Regalos de fin de año,2023-04-12,2023-05-10,14816000.0,74,Perdida,Tiempo de entrega,,0.0,0.0,0.0,60
Q-00156,Empresa C-0299,Tecnología,Evento corporativo,2023-04-18,2023-05-20,1588000.0,8,Perdida,Precio,,0.0,0.0,0.0,45
Q-00157,Empresa C-0119,Educación,Evento corporativo,2023-04-23,2023-05-18,6174000.0,44,Perdida,Tiempo de entrega,,0.0,0.0,0.0,45
Q-00158,Empresa C-0002,Salud,Regalos de fin de año,2023-04-24,2023-06-04,20135000.0,134,Ganada,,,19176000.0,15242000.0,708000.0,30
Q-00159,Empresa C-0662,Salud,Regalos de fin de año,2023-05-06,2023-05-21,2731000.0,17,Ganada,,,2601000.0,2098000.0,114000.0,45
Q-00160,Empresa C-0058,Tecnología,Regalos de fin de año,2023-05-06,2023-05-23,3027000.0,18,Perdida,Precio,,0.0,0.0,0.0,60
Q-00161,Empresa C-0021,Financiero,Evento corporativo,2023-05-14,2023-06-20,1009000.0,5,Ganada,,,961000.0,751000.0,31000.0,45
Q-00162,Empresa C-0152,Consumo masivo,Obsequios a clientes,2023-05-21,2023-06-05,13366000.0,102,Ganada,,,12730000.0,9698000.0,376000.0,60
Q-00163,Empresa C-0339,Gremios y asociaciones,Regalos de fin de año,2023-05-22,2023-06-25,7099000.0,50,Perdida,Tiempo de entrega,,0.0,0.0,0.0,45
Q-00164,Empresa C-0076,Energía y minería,Evento corporativo,2023-05-25,2023-07-03,3323000.0,20,Perdida,Se fue con el proveedor de siempre,,0.0,0.0,0.0,45
Q-00165,Empresa C-0004,Financiero,Boda o celebración privada,2023-05-26,2023-07-01,31581000.0,156,Perdida,Precio,,0.0,0.0,0.0,90
Q-00166,Empresa C-0003,Salud,Obsequios a clientes,2023-05-28,2023-06-07,4253000.0,22,Perdida,Tiempo de entrega,,0.0,0.0,0.0,30
Q-00167,Empresa C-0125,Tecnología,Regalos de fin de año,2023-05-29,2023-06-25,9575000.0,74,Perdida,Precio,,0.0,0.0,0.0,45
Q-00168,Empresa C-0503,Consumo masivo,Boda o celebración privada,2023-06-02,2023-07-09,14827000.0,106,Perdida,Precio,,0.0,0.0,0.0,30
Q-00169,Empresa C-0622,Tecnología,Regalos de fin de año,2023-06-08,2023-06-18,55044000.0,369,Perdida,Cobertura fuera de Bogotá,,0.0,0.0,0.0,90
