mes,ingreso_store,ingreso_lounge,ingreso_corporativo,ingreso_distribucion,ingresos,costo_mercancia,margen_bruto,logistica,pasarela_y_empaque,mercadeo,personas,nomina,arriendo_y_bodega,tecnologia,otros_gastos,ebitda,depreciacion,utilidad_operacional,inventario,cartera,proveedores,capital_trabajo,caja,deuda
2023-11,34151000.0,163948000.0,63201000.0,0.0,261299000.0,205839000.0,55461000.0,10687000.0,11518000.0,11047000.0,7,18200000.0,3437000.0,1719000.0,4940000.0,-6087000.0,0.0,-6087000.0,321431000.0,60673000.0,232760000.0,149344000.0,60000000.0,484359000.0
2023-12,58673000.0,261628000.0,135884000.0,0.0,456185000.0,359891000.0,96294000.0,17046000.0,19912000.0,16755000.0,7,18200000.0,3452000.0,1726000.0,7120000.0,12082000.0,0.0,12082000.0,279202000.0,130449000.0,325735000.0,83915000.0,129519000.0,484359000.0
2024-01,38771000.0,113319000.0,55921000.0,0.0,208011000.0,162698000.0,45313000.0,9167000.0,9474000.0,10481000.0,7,18900000.0,3468000.0,1734000.0,4344000.0,-12255000.0,0.0,-12255000.0,291371000.0,53684000.0,339933000.0,5122000.0,160000000.0,456294000.0
2024-02,56946000.0,128238000.0,19303000.0,0.0,204487000.0,160447000.0,44040000.0,10344000.0,9317000.0,10463000.0,8,21600000.0,3484000.0,1742000.0,4304000.0,-17215000.0,0.0,-17215000.0,273214000.0,18531000.0,318750000.0,-27005000.0,160000000.0,448910000.0
2024-03,58872000.0,130110000.0,40188000.0,0.0,229170000.0,178758000.0,50412000.0,10843000.0,10836000.0,12274000.0,8,21600000.0,3499000.0,1749000.0,4580000.0,-14970000.0,0.0,-14970000.0,200761000.0,38580000.0,234222000.0,5120000.0,105498000.0,448910000.0
2024-04,67881000.0,131267000.0,32282000.0,0.0,231430000.0,180365000.0,51065000.0,11408000.0,10706000.0,11670000.0,8,21600000.0,3515000.0,1757000.0,4606000.0,-14197000.0,0.0,-14197000.0,207828000.0,30991000.0,242466000.0,-3647000.0,92661000.0,448910000.0
2024-05,88634000.0,151397000.0,38594000.0,0.0,278625000.0,218608000.0,60017000.0,13500000.0,12814000.0,12727000.0,8,21600000.0,3530000.0,1765000.0,5134000.0,-11053000.0,0.0,-11053000.0,231092000.0,37050000.0,269608000.0,-1465000.0,72019000.0,448910000.0
2024-06,131919000.0,214563000.0,47467000.0,0.0,393950000.0,311121000.0,82828000.0,18497000.0,17871000.0,13524000.0,8,21600000.0,3546000.0,1773000.0,6424000.0,-407000.0,0.0,-407000.0,284038000.0,45568000.0,331377000.0,-1771000.0,64512000.0,448910000.0
2024-07,111499000.0,154045000.0,23420000.0,4637000.0,293601000.0,228333000.0,65268000.0,15499000.0,13326000.0,12634000.0,8,21600000.0,3562000.0,1781000.0,5301000.0,-8435000.0,0.0,-8435000.0,303225000.0,27770000.0,353763000.0,-22768000.0,69667000.0,448910000.0
2024-08,119931000.0,177821000.0,26410000.0,8866000.0,333029000.0,262153000.0,70875000.0,17035000.0,14749000.0,13471000.0,8,21600000.0,3578000.0,1789000.0,5742000.0,-7089000.0,0.0,-7089000.0,320643000.0,35461000.0,374084000.0,-17979000.0,60000000.0,458528000.0
2024-09,184588000.0,217883000.0,51588000.0,11775000.0,465834000.0,362612000.0,103222000.0,24272000.0,21131000.0,15026000.0,9,24300000.0,3594000.0,1797000.0,7228000.0,5874000.0,0.0,5874000.0,341240000.0,62948000.0,398113000.0,6075000.0,60000000.0,484274000.0
2024-10,167762000.0,200291000.0,39371000.0,6823000.0,414248000.0,325666000.0,88582000.0,20598000.0,18742000.0,13692000.0,9,24300000.0,3610000.0,1805000.0,6651000.0,-816000.0,0.0,-816000.0,549138000.0,45575000.0,443535000.0,151178000.0,60000000.0,638183000.0
2024-11,213290000.0,235957000.0,122324000.0,7464000.0,579034000.0,451922000.0,127113000.0,26679000.0,26608000.0,14783000.0,9,24300000.0,3627000.0,1813000.0,8494000.0,20809000.0,0.0,20809000.0,734796000.0,125940000.0,532093000.0,328642000.0,60000000.0,805368000.0
2024-12,363550000.0,380749000.0,196659000.0,24020000.0,964978000.0,753096000.0,211882000.0,41539000.0,42601000.0,21839000.0,9,24300000.0,3643000.0,1821000.0,12811000.0,63329000.0,0.0,63329000.0,612274000.0,216175000.0,714319000.0,114130000.0,160000000.0,640816000.0
2025-01,191754000.0,181149000.0,51680000.0,15061000.0,439644000.0,343295000.0,96349000.0,23171000.0,20131000.0,14755000.0,9,43200000.0,8965000.0,3568000.0,6935000.0,-24375000.0,0.0,-24375000.0,619325000.0,66783000.0,722546000.0,-36438000.0,160000000.0,525197000.0
2025-02,198678000.0,202626000.0,44118000.0,22849000.0,468271000.0,366273000.0,101999000.0,23541000.0,20363000.0,18811000.0,10,48000000.0,9006000.0,3584000.0,7255000.0,-28561000.0,0.0,-28561000.0,585066000.0,68401000.0,682576000.0,-29109000.0,115445000.0,525197000.0
2025-03,247163000.0,212843000.0,59721000.0,49275000.0,569002000.0,441977000.0,127026000.0,28011000.0,24015000.0,22058000.0,10,48000000.0,9043000.0,3599000.0,8382000.0,-16082000.0,0.0,-16082000.0,460618000.0,113506000.0,537387000.0,36736000.0,60000000.0,560346000.0
2025-04,271669000.0,215675000.0,70483000.0,57109000.0,614935000.0,479491000.0,135444000.0,28363000.0,25402000.0,26428000.0,10,48000000.0,9084000.0,3615000.0,8895000.0,-14344000.0,0.0,-14344000.0,515096000.0,132767000.0,600946000.0,46918000.0,60000000.0,594118000.0
2025-05,308066000.0,238558000.0,79995000.0,53785000.0,680404000.0,530673000.0,149731000.0,32416000.0,28662000.0,29948000.0,10,48000000.0,9124000.0,3631000.0,9628000.0,-11678000.0,0.0,-11678000.0,580856000.0,138110000.0,677666000.0,41301000.0,60000000.0,609982000.0
2025-06,458126000.0,344330000.0,116708000.0,60562000.0,979727000.0,770153000.0,209574000.0,45356000.0,41180000.0,34483000.0,10,48000000.0,9166000.0,3648000.0,12976000.0,14765000.0,0.0,14765000.0,712127000.0,181081000.0,830815000.0,62393000.0,60000000.0,626374000.0
2025-07,347652000.0,219035000.0,58150000.0,59747000.0,684584000.0,533057000.0,151526000.0,35200000.0,28939000.0,32111000.0,11,52800000.0,9206000.0,3664000.0,9674000.0,-20068000.0,0.0,-20068000.0,733553000.0,123936000.0,855812000.0,1677000.0,90313000.0,626374000.0
2025-08,367755000.0,249402000.0,66015000.0,66769000.0,749942000.0,587569000.0,162373000.0,38089000.0,31569000.0,34579000.0,11,52800000.0,9248000.0,3680000.0,10405000.0,-17998000.0,0.0,-17998000.0,756312000.0,139491000.0,882364000.0,13439000.0,60000000.0,636156000.0
2025-09,530387000.0,369248000.0,124917000.0,78449000.0,1103002000.0,862490000.0,240512000.0,57710000.0,48064000.0,65878000.0,11,52800000.0,9290000.0,3697000.0,14355000.0,-11282000.0,0.0,-11282000.0,793246000.0,209353000.0,925454000.0,77145000.0,60000000.0,721641000.0
2025-10,411333000.0,277833000.0,94314000.0,86268000.0,869749000.0,685115000.0,184633000.0,42168000.0,36012000.0,39895000.0,11,52800000.0,9331000.0,3714000.0,11746000.0,-11032000.0,0.0,-11032000.0,1233656000.0,188887000.0,996415000.0,426128000.0,60000000.0,1093563000.0
2025-11,553278000.0,326686000.0,240891000.0,87924000.0,1208779000.0,947681000.0,261098000.0,54690000.0,50918000.0,43956000.0,12,57600000.0,9374000.0,3730000.0,15538000.0,25292000.0,0.0,25292000.0,1608074000.0,331489000.0,1164467000.0,775095000.0,60000000.0,1435282000.0
2025-12,1001437000.0,563165000.0,480905000.0,122553000.0,2168059000.0,1700260000.0,467799000.0,95511000.0,92342000.0,59123000.0,12,57600000.0,9415000.0,3747000.0,26268000.0,123793000.0,0.0,123793000.0,1333223000.0,601379000.0,1555427000.0,379175000.0,160000000.0,1039251000.0
2026-01,329927000.0,216976000.0,58737000.0,58324000.0,663964000.0,522678000.0,141286000.0,34337000.0,30174000.0,32531000.0,12,62400000.0,9458000.0,3764000.0,9444000.0,-40821000.0,0.0,-40821000.0,1268248000.0,122877000.0,1479623000.0,-88497000.0,160000000.0,629547000.0
2026-02,446008000.0,271468000.0,66141000.0,96149000.0,879765000.0,691019000.0,188746000.0,44694000.0,36154000.0,35907000.0,12,62400000.0,9501000.0,3781000.0,11858000.0,-15550000.0,0.0,-15550000.0,1285583000.0,173105000.0,1359847000.0,98841000.0,60000000.0,742823000.0
2026-03,481388000.0,307198000.0,91491000.0,121963000.0,1002040000.0,784416000.0,217623000.0,49335000.0,40567000.0,36506000.0,13,67600000.0,9540000.0,3797000.0,13225000.0,-2947000.0,0.0,-2947000.0,919246000.0,226870000.0,932453000.0,213662000.0,60000000.0,872847000.0
2026-04,464762000.0,287350000.0,100569000.0,111481000.0,964162000.0,758266000.0,205897000.0,46368000.0,38899000.0,37842000.0,13,67600000.0,9584000.0,3814000.0,12802000.0,-11011000.0,0.0,-11011000.0,1013481000.0,223635000.0,1042394000.0,194721000.0,60000000.0,879320000.0
2026-05,473215000.0,305518000.0,125331000.0,150427000.0,1054490000.0,824128000.0,230362000.0,49330000.0,41344000.0,40824000.0,13,67600000.0,9626000.0,3831000.0,13812000.0,3995000.0,0.0,3995000.0,1066724000.0,291805000.0,1104511000.0,254017000.0,60000000.0,949130000.0
2026-06,762368000.0,440118000.0,193030000.0,183880000.0,1579396000.0,1240665000.0,338730000.0,71359000.0,63058000.0,41435000.0,13,67600000.0,9670000.0,3848000.0,19683000.0,62077000.0,0.0,62077000.0,1249224000.0,394932000.0,1317428000.0,326728000.0,60000000.0,975424000.0
2026-07,480786000.0,301455000.0,104968000.0,139540000.0,1026749000.0,801723000.0,225026000.0,49909000.0,41072000.0,36829000.0,13,67600000.0,9713000.0,3865000.0,13502000.0,2536000.0,0.0,2536000.0,1266607000.0,259844000.0,1337708000.0,188743000.0,160000000.0,950998000.0
2026-08,456319000.0,306932000.0,103756000.0,167168000.0,1034176000.0,807276000.0,226899000.0,49505000.0,40109000.0,36484000.0,13,67600000.0,9757000.0,3883000.0,13585000.0,5977000.0,0.0,5977000.0,1259866000.0,290178000.0,1329843000.0,220200000.0,118828000.0,950998000.0
