mes,cuenta_id,marca,unidades,ingreso_neto,costo_mercancia
2025-03,D-002,Marcel Thorel,5,442900.0,318400.0
2025-03,D-004,Marcel Thorel,22,1948900.0,1400800.0
2025-03,D-009,Marcel Thorel,47,4163500.0,2992500.0
2025-03,D-010,Marcel Thorel,20,1771700.0,1273400.0
2025-03,D-011,Marcel Thorel,11,974400.0,700400.0
2025-03,D-012,Marcel Thorel,37,3277600.0,2355800.0
2025-03,D-013,Marcel Thorel,25,2214600.0,1591800.0
2025-03,D-014,Marcel Thorel,10,885900.0,636700.0
2025-03,D-018,Marcel Thorel,9,797300.0,573000.0
2025-04,D-001,Ron Defensor,18,2803100.0,1968900.0
2025-04,D-002,Ron Defensor,12,1868800.0,1312600.0
2025-04,D-003,Ron Defensor,24,3737500.0,2625200.0
2025-04,D-004,Ron Defensor,18,2803100.0,1968900.0
2025-04,D-007,Ron Defensor,5,778700.0,546900.0
2025-04,D-009,Ron Defensor,18,2803100.0,1968900.0
2025-04,D-011,Ron Defensor,20,3114600.0,2187600.0
2025-04,D-012,Ron Defensor,16,2491700.0,1750100.0
2025-04,D-013,Ron Defensor,31,4827600.0,3390800.0
2025-04,D-015,Ron Defensor,18,2803100.0,1968900.0
2025-04,D-018,Ron Defensor,25,3893300.0,2734600.0
2025-04,D-019,Ron Defensor,16,2491700.0,1750100.0
2025-04,D-003,Marcel Thorel,18,1601800.0,1151300.0
2025-04,D-004,Marcel Thorel,53,4716400.0,3389900.0
2025-04,D-005,Marcel Thorel,12,1067900.0,767500.0
2025-04,D-006,Marcel Thorel,14,1245800.0,895500.0
2025-04,D-007,Marcel Thorel,11,978900.0,703600.0
2025-04,D-010,Marcel Thorel,22,1957800.0,1407100.0
2025-04,D-011,Marcel Thorel,11,978900.0,703600.0
2025-04,D-012,Marcel Thorel,22,1957800.0,1407100.0
2025-04,D-013,Marcel Thorel,28,2491700.0,1790900.0
2025-04,D-014,Marcel Thorel,11,978900.0,703600.0
2025-04,D-015,Marcel Thorel,26,2313700.0,1663000.0
2025-04,D-017,Marcel Thorel,14,1245800.0,895500.0
2025-04,D-019,Marcel Thorel,13,1156900.0,831500.0
2025-05,D-001,Ron Defensor,39,6100300.0,4284700.0
2025-05,D-003,Ron Defensor,33,5161800.0,3625500.0
2025-05,D-004,Ron Defensor,26,4066800.0,2856500.0
2025-05,D-005,Ron Defensor,9,1407800.0,988800.0
2025-05,D-007,Ron Defensor,7,1094900.0,769100.0
2025-05,D-011,Ron Defensor,5,782100.0,549300.0
2025-05,D-015,Ron Defensor,19,2971900.0,2087400.0
2025-05,D-021,Ron Defensor,7,1094900.0,769100.0
2025-05,D-001,Marcel Thorel,46,4111500.0,2955200.0
2025-05,D-002,Marcel Thorel,8,715100.0,513900.0
2025-05,D-004,Marcel Thorel,123,10993900.0,7901900.0
2025-05,D-008,Marcel Thorel,27,2413300.0,1734600.0
2025-05,D-009,Marcel Thorel,22,1966400.0,1413300.0
2025-05,D-010,Marcel Thorel,30,2681400.0,1927300.0
2025-05,D-012,Marcel Thorel,17,1519500.0,1092100.0
2025-05,D-014,Marcel Thorel,22,1966400.0,1413300.0
2025-05,D-015,Marcel Thorel,13,1162000.0,835200.0
2025-05,D-016,Marcel Thorel,16,1430100.0,1027900.0
2025-05,D-018,Marcel Thorel,24,2145200.0,1541800.0
2025-06,D-001,Ron Defensor,24,3771100.0,2648800.0
2025-06,D-002,Ron Defensor,5,785700.0,551800.0
2025-06,D-006,Ron Defensor,2,314300.0,220700.0
2025-06,D-007,Ron Defensor,13,2042700.0,1434700.0
2025-06,D-009,Ron Defensor,31,4871000.0,3421300.0
2025-06,D-010,Ron Defensor,20,3142600.0,2207300.0
2025-06,D-013,Ron Defensor,29,4556800.0,3200600.0
2025-06,D-014,Ron Defensor,10,1571300.0,1103700.0
2025-06,D-016,Ron Defensor,11,1728400.0,1214000.0
2025-06,D-019,Ron Defensor,6,942800.0,662200.0
2025-06,D-022,Ron Defensor,24,3771100.0,2648800.0
2025-06,D-023,Ron Defensor,13,2042700.0,1434700.0
2025-06,D-024,Ron Defensor,14,2199800.0,1545100.0
2025-06,D-001,Marcel Thorel,32,2873200.0,2065100.0
2025-06,D-003,Marcel Thorel,25,2244700.0,1613400.0
2025-06,D-004,Marcel Thorel,18,1616200.0,1161600.0
2025-06,D-005,Marcel Thorel,16,1436600.0,1032600.0
2025-06,D-007,Marcel Thorel,11,987700.0,709900.0
2025-06,D-008,Marcel Thorel,5,448900.0,322700.0
2025-06,D-009,Marcel Thorel,32,2873200.0,2065100.0
2025-06,D-011,Marcel Thorel,16,1436600.0,1032600.0
2025-06,D-012,Marcel Thorel,14,1257000.0,903500.0
2025-06,D-013,Marcel Thorel,54,4848600.0,3484900.0
2025-06,D-014,Marcel Thorel,16,1436600.0,1032600.0
2025-06,D-016,Marcel Thorel,25,2244700.0,1613400.0
2025-06,D-018,Marcel Thorel,11,987700.0,709900.0
2025-06,D-019,Marcel Thorel,8,718300.0,516300.0
2025-06,D-023,Marcel Thorel,10,897900.0,645400.0
2025-06,D-024,Marcel Thorel,28,2514100.0,1807000.0
2025-07,D-002,Ron Defensor,11,1736100.0,1219400.0
2025-07,D-004,Ron Defensor,28,4419000.0,3103900.0
2025-07,D-006,Ron Defensor,2,315600.0,221700.0
2025-07,D-007,Ron Defensor,11,1736100.0,1219400.0
2025-07,D-008,Ron Defensor,5,789100.0,554300.0
2025-07,D-012,Ron Defensor,15,2367300.0,1662800.0
2025-07,D-013,Ron Defensor,23,3629900.0,2549600.0
2025-07,D-014,Ron Defensor,38,5997300.0,4212400.0
2025-07,D-016,Ron Defensor,6,946900.0,665100.0
2025-07,D-017,Ron Defensor,8,1262600.0,886800.0
2025-07,D-018,Ron Defensor,37,5839500.0,4101500.0
2025-07,D-019,Ron Defensor,8,1262600.0,886800.0
2025-07,D-022,Ron Defensor,21,3314300.0,2327900.0
2025-07,D-023,Ron Defensor,19,2998600.0,2106200.0
2025-07,D-024,Ron Defensor,6,946900.0,665100.0
2025-07,D-002,Marcel Thorel,7,631300.0,453700.0
2025-07,D-003,Marcel Thorel,34,3066300.0,2203900.0
2025-07,D-004,Marcel Thorel,32,2885900.0,2074200.0
2025-07,D-008,Marcel Thorel,8,721500.0,518600.0
2025-07,D-011,Marcel Thorel,8,721500.0,518600.0
2025-07,D-012,Marcel Thorel,18,1623300.0,1166800.0
2025-07,D-013,Marcel Thorel,28,2525200.0,1815000.0
2025-07,D-015,Marcel Thorel,21,1893900.0,1361200.0
2025-07,D-016,Marcel Thorel,14,1262600.0,907500.0
2025-07,D-019,Marcel Thorel,13,1172400.0,842700.0
2025-07,D-020,Marcel Thorel,5,450900.0,324100.0
2025-07,D-021,Marcel Thorel,13,1172400.0,842700.0
2025-07,D-022,Marcel Thorel,21,1893900.0,1361200.0
2025-07,D-024,Marcel Thorel,24,2164400.0,1555700.0
2025-08,D-002,Ron Defensor,12,1902500.0,1336300.0
2025-08,D-005,Ron Defensor,10,1585400.0,1113600.0
2025-08,D-006,Ron Defensor,3,475600.0,334100.0
2025-08,D-008,Ron Defensor,3,475600.0,334100.0
2025-08,D-010,Ron Defensor,38,6024600.0,4231600.0
2025-08,D-012,Ron Defensor,20,3170800.0,2227100.0
2025-08,D-013,Ron Defensor,13,2061100.0,1447600.0
2025-08,D-014,Ron Defensor,26,4122100.0,2895300.0
2025-08,D-015,Ron Defensor,50,7927100.0,5567900.0
2025-08,D-016,Ron Defensor,7,1109800.0,779500.0
2025-08,D-017,Ron Defensor,13,2061100.0,1447600.0
2025-08,D-018,Ron Defensor,17,2695200.0,1893100.0
2025-08,D-020,Ron Defensor,6,951300.0,668100.0
2025-08,D-021,Ron Defensor,8,1268300.0,890900.0
2025-08,D-022,Ron Defensor,19,3012300.0,2115800.0
2025-08,D-024,Ron Defensor,31,4914800.0,3452100.0
2025-08,D-002,Marcel Thorel,6,543600.0,390700.0
2025-08,D-004,Marcel Thorel,33,2989700.0,2148800.0
2025-08,D-005,Marcel Thorel,9,815400.0,586000.0
2025-08,D-007,Marcel Thorel,12,1087100.0,781400.0
2025-08,D-009,Marcel Thorel,24,2174300.0,1562800.0
2025-08,D-010,Marcel Thorel,42,3805000.0,2734900.0
2025-08,D-012,Marcel Thorel,12,1087100.0,781400.0
2025-08,D-013,Marcel Thorel,12,1087100.0,781400.0
2025-08,D-014,Marcel Thorel,20,1811900.0,1302300.0
2025-08,D-015,Marcel Thorel,15,1358900.0,976700.0
2025-08,D-016,Marcel Thorel,17,1540100.0,1107000.0
2025-08,D-018,Marcel Thorel,12,1087100.0,781400.0
2025-08,D-022,Marcel Thorel,18,1630700.0,1172100.0
2025-08,D-023,Marcel Thorel,11,996600.0,716300.0
2025-08,D-024,Marcel Thorel,11,996600.0,716300.0
2025-09,D-005,Ron Defensor,17,2707500.0,1901700.0
2025-09,D-007,Ron Defensor,9,1433400.0,1006800.0
2025-09,D-010,Ron Defensor,39,6211300.0,4362700.0
2025-09,D-012,Ron Defensor,24,3822400.0,2684800.0
2025-09,D-013,Ron Defensor,15,2389000.0,1678000.0
2025-09,D-014,Ron Defensor,20,3185300.0,2237300.0
2025-09,D-016,Ron Defensor,16,2548200.0,1789800.0
2025-09,D-021,Ron Defensor,6,955600.0,671200.0
2025-09,D-022,Ron Defensor,10,1592700.0,1118600.0
2025-09,D-023,Ron Defensor,8,1274100.0,894900.0
2025-09,D-024,Ron Defensor,18,2866800.0,2013600.0
2025-09,D-025,Ron Defensor,11,1751900.0,1230500.0
2025-09,D-026,Ron Defensor,29,4618700.0,3244100.0
2025-09,D-027,Ron Defensor,23,3663100.0,2572900.0
2025-09,D-028,Ron Defensor,19,3026000.0,2125400.0
2025-09,D-029,Ron Defensor,24,3822400.0,2684800.0
2025-09,D-002,Marcel Thorel,8,728100.0,523300.0
2025-09,D-005,Marcel Thorel,17,1547100.0,1112000.0
2025-09,D-008,Marcel Thorel,11,1001100.0,719500.0
2025-09,D-009,Marcel Thorel,25,2275200.0,1635300.0
2025-09,D-011,Marcel Thorel,4,364000.0,261600.0
2025-09,D-012,Marcel Thorel,26,2366200.0,1700700.0
2025-09,D-013,Marcel Thorel,50,4550400.0,3270600.0
2025-09,D-016,Marcel Thorel,34,3094300.0,2224000.0
2025-09,D-017,Marcel Thorel,13,1183100.0,850400.0
2025-09,D-021,Marcel Thorel,12,1092100.0,784900.0
2025-09,D-022,Marcel Thorel,25,2275200.0,1635300.0
2025-09,D-025,Marcel Thorel,6,546100.0,392500.0
2025-09,D-026,Marcel Thorel,25,2275200.0,1635300.0
2025-09,D-027,Marcel Thorel,78,7098700.0,5102200.0
2025-09,D-028,Marcel Thorel,24,2184200.0,1569900.0
2025-10,D-002,Ron Defensor,7,1119800.0,786500.0
2025-10,D-004,Ron Defensor,30,4799000.0,3370700.0
2025-10,D-005,Ron Defensor,20,3199300.0,2247200.0
2025-10,D-010,Ron Defensor,23,3679300.0,2584200.0
2025-10,D-011,Ron Defensor,13,2079600.0,1460700.0
2025-10,D-012,Ron Defensor,13,2079600.0,1460700.0
2025-10,D-013,Ron Defensor,32,5119000.0,3595500.0
2025-10,D-014,Ron Defensor,12,1919600.0,1348300.0
2025-10,D-016,Ron Defensor,8,1279700.0,898900.0
2025-10,D-017,Ron Defensor,9,1439700.0,1011200.0
2025-10,D-018,Ron Defensor,29,4639100.0,3258400.0
2025-10,D-019,Ron Defensor,6,959800.0,674100.0
2025-10,D-020,Ron Defensor,3,479900.0,337100.0
2025-10,D-024,Ron Defensor,12,1919600.0,1348300.0
2025-10,D-025,Ron Defensor,8,1279700.0,898900.0
2025-10,D-026,Ron Defensor,27,4319100.0,3033700.0
2025-10,D-027,Ron Defensor,29,4639100.0,3258400.0
2025-10,D-028,Ron Defensor,15,2399500.0,1685400.0
2025-10,D-029,Ron Defensor,16,2559500.0,1797700.0
2025-10,D-030,Ron Defensor,8,1279700.0,898900.0
2025-10,D-031,Ron Defensor,37,5918800.0,4157200.0
2025-10,D-002,Marcel Thorel,10,914100.0,657000.0
2025-10,D-004,Marcel Thorel,21,1919600.0,1379700.0
2025-10,D-007,Marcel Thorel,8,731300.0,525600.0
2025-10,D-008,Marcel Thorel,21,1919600.0,1379700.0
2025-10,D-009,Marcel Thorel,21,1919600.0,1379700.0
2025-10,D-010,Marcel Thorel,15,1371100.0,985500.0
2025-10,D-012,Marcel Thorel,8,731300.0,525600.0
2025-10,D-016,Marcel Thorel,15,1371100.0,985500.0
2025-10,D-019,Marcel Thorel,14,1279700.0,919800.0
2025-10,D-022,Marcel Thorel,25,2285200.0,1642500.0
2025-10,D-023,Marcel Thorel,15,1371100.0,985500.0
2025-10,D-024,Marcel Thorel,17,1554000.0,1116900.0
2025-10,D-025,Marcel Thorel,15,1371100.0,985500.0
2025-10,D-027,Marcel Thorel,34,3107900.0,2233800.0
2025-10,D-028,Marcel Thorel,15,1371100.0,985500.0
2025-10,D-029,Marcel Thorel,27,2468100.0,1773900.0
2025-10,D-030,Marcel Thorel,10,914100.0,657000.0
2025-10,D-031,Marcel Thorel,28,2559500.0,1839600.0
2025-11,D-004,Ron Defensor,13,2089100.0,1467300.0
2025-11,D-005,Ron Defensor,12,1928400.0,1354400.0
2025-11,D-008,Ron Defensor,7,1124900.0,790100.0
2025-11,D-009,Ron Defensor,46,7392000.0,5192000.0
2025-11,D-010,Ron Defensor,13,2089100.0,1467300.0
2025-11,D-013,Ron Defensor,49,7874100.0,5530600.0
2025-11,D-014,Ron Defensor,17,2731800.0,1918800.0
2025-11,D-022,Ron Defensor,19,3053200.0,2144500.0
2025-11,D-023,Ron Defensor,13,2089100.0,1467300.0
2025-11,D-026,Ron Defensor,21,3374600.0,2370300.0
2025-11,D-027,Ron Defensor,26,4178100.0,2934600.0
2025-11,D-029,Ron Defensor,21,3374600.0,2370300.0
2025-11,D-031,Ron Defensor,29,4660200.0,3273200.0
2025-11,D-002,Marcel Thorel,11,1010100.0,726000.0
2025-11,D-004,Marcel Thorel,18,1652900.0,1188000.0
2025-11,D-011,Marcel Thorel,20,1836500.0,1320000.0
2025-11,D-012,Marcel Thorel,18,1652900.0,1188000.0
2025-11,D-013,Marcel Thorel,64,5876900.0,4224000.0
2025-11,D-014,Marcel Thorel,9,826400.0,594000.0
2025-11,D-016,Marcel Thorel,11,1010100.0,726000.0
2025-11,D-022,Marcel Thorel,66,6060600.0,4356000.0
2025-11,D-023,Marcel Thorel,14,1285600.0,924000.0
2025-11,D-024,Marcel Thorel,17,1561100.0,1122000.0
2025-11,D-025,Marcel Thorel,33,3030300.0,2178000.0
2025-11,D-026,Marcel Thorel,30,2754800.0,1980000.0
2025-11,D-027,Marcel Thorel,37,3397600.0,2442000.0
2025-11,D-028,Marcel Thorel,21,1928400.0,1386000.0
2025-11,D-029,Marcel Thorel,18,1652900.0,1188000.0
2025-11,D-030,Marcel Thorel,9,826400.0,594000.0
2025-11,D-031,Marcel Thorel,28,2571100.0,1848000.0
2025-11,D-033,Marcel Thorel,33,3030300.0,2178000.0
2025-12,D-004,Ron Defensor,41,6617600.0,4648100.0
2025-12,D-005,Ron Defensor,20,3228100.0,2267400.0
2025-12,D-007,Ron Defensor,26,4196500.0,2947600.0
2025-12,D-009,Ron Defensor,39,6294800.0,4421400.0
2025-12,D-010,Ron Defensor,56,9038700.0,6348600.0
2025-12,D-012,Ron Defensor,45,7263200.0,5101600.0
2025-12,D-013,Ron Defensor,50,8070300.0,5668400.0
2025-12,D-014,Ron Defensor,14,2259700.0,1587200.0
2025-12,D-016,Ron Defensor,34,5487800.0,3854500.0
2025-12,D-019,Ron Defensor,14,2259700.0,1587200.0
2025-12,D-022,Ron Defensor,20,3228100.0,2267400.0
2025-12,D-026,Ron Defensor,20,3228100.0,2267400.0
2025-12,D-027,Ron Defensor,39,6294800.0,4421400.0
2025-12,D-028,Ron Defensor,21,3389500.0,2380700.0
2025-12,D-029,Ron Defensor,44,7101800.0,4988200.0
2025-12,D-031,Ron Defensor,30,4842200.0,3401000.0
2025-12,D-002,Marcel Thorel,13,1199000.0,861800.0
2025-12,D-004,Marcel Thorel,103,9499900.0,6828000.0
2025-12,D-005,Marcel Thorel,12,1106800.0,795500.0
2025-12,D-008,Marcel Thorel,17,1567900.0,1127000.0
2025-12,D-009,Marcel Thorel,53,4888300.0,3513400.0
2025-12,D-010,Marcel Thorel,20,1844600.0,1325800.0
2025-12,D-018,Marcel Thorel,27,2490300.0,1789900.0
2025-12,D-021,Marcel Thorel,12,1106800.0,795500.0
2025-12,D-022,Marcel Thorel,17,1567900.0,1127000.0
2025-12,D-026,Marcel Thorel,32,2951400.0,2121300.0
2025-12,D-028,Marcel Thorel,21,1936900.0,1392100.0
2025-12,D-029,Marcel Thorel,29,2674700.0,1922500.0
2025-12,D-033,Marcel Thorel,75,6917400.0,4971900.0
2026-01,D-004,Ron Defensor,19,3080700.0,2163800.0
2026-01,D-005,Ron Defensor,8,1297100.0,911100.0
2026-01,D-012,Ron Defensor,12,1945700.0,1366600.0
2026-01,D-013,Ron Defensor,14,2270000.0,1594400.0
2026-01,D-016,Ron Defensor,6,972800.0,683300.0
2026-01,D-018,Ron Defensor,17,2756400.0,1936000.0
2026-01,D-019,Ron Defensor,3,486400.0,341700.0
2026-01,D-020,Ron Defensor,8,1297100.0,911100.0
2026-01,D-022,Ron Defensor,12,1945700.0,1366600.0
2026-01,D-023,Ron Defensor,7,1135000.0,797200.0
2026-01,D-025,Ron Defensor,8,1297100.0,911100.0
2026-01,D-026,Ron Defensor,33,5350600.0,3758200.0
2026-01,D-033,Ron Defensor,17,2756400.0,1936000.0
2026-01,D-035,Ron Defensor,13,2107800.0,1480500.0
2026-01,D-039,Ron Defensor,3,486400.0,341700.0
2026-01,D-040,Ron Defensor,14,2270000.0,1594400.0
2026-01,D-002,Marcel Thorel,3,278000.0,199800.0
2026-01,D-004,Marcel Thorel,28,2594300.0,1864600.0
2026-01,D-005,Marcel Thorel,15,1389800.0,998900.0
2026-01,D-008,Marcel Thorel,3,278000.0,199800.0
2026-01,D-010,Marcel Thorel,12,1111800.0,799100.0
2026-01,D-011,Marcel Thorel,12,1111800.0,799100.0
2026-01,D-012,Marcel Thorel,16,1482400.0,1065500.0
2026-01,D-013,Marcel Thorel,37,3428100.0,2464000.0
2026-01,D-016,Marcel Thorel,8,741200.0,532700.0
2026-01,D-022,Marcel Thorel,15,1389800.0,998900.0
2026-01,D-023,Marcel Thorel,15,1389800.0,998900.0
2026-01,D-025,Marcel Thorel,21,1945700.0,1398500.0
2026-01,D-027,Marcel Thorel,11,1019200.0,732500.0
2026-01,D-029,Marcel Thorel,28,2594300.0,1864600.0
2026-01,D-033,Marcel Thorel,9,833900.0,599300.0
2026-01,D-035,Marcel Thorel,9,833900.0,599300.0
2026-01,D-036,Marcel Thorel,12,1111800.0,799100.0
2026-01,D-037,Marcel Thorel,9,833900.0,599300.0
2026-01,D-039,Marcel Thorel,9,833900.0,599300.0
2026-01,D-040,Marcel Thorel,18,1667700.0,1198700.0
2026-02,D-004,Ron Defensor,12,1954600.0,1372800.0
2026-02,D-005,Ron Defensor,12,1954600.0,1372800.0
2026-02,D-007,Ron Defensor,7,1140200.0,800800.0
2026-02,D-008,Ron Defensor,5,814400.0,572000.0
2026-02,D-010,Ron Defensor,11,1791700.0,1258400.0
2026-02,D-011,Ron Defensor,6,977300.0,686400.0
2026-02,D-012,Ron Defensor,7,1140200.0,800800.0
2026-02,D-014,Ron Defensor,9,1465900.0,1029600.0
2026-02,D-016,Ron Defensor,5,814400.0,572000.0
2026-02,D-017,Ron Defensor,5,814400.0,572000.0
2026-02,D-018,Ron Defensor,3,488600.0,343200.0
2026-02,D-020,Ron Defensor,3,488600.0,343200.0
2026-02,D-022,Ron Defensor,15,2443200.0,1716100.0
2026-02,D-023,Ron Defensor,26,4234900.0,2974500.0
2026-02,D-025,Ron Defensor,4,651500.0,457600.0
2026-02,D-027,Ron Defensor,33,5375000.0,3775300.0
2026-02,D-028,Ron Defensor,11,1791700.0,1258400.0
2026-02,D-031,Ron Defensor,23,3746200.0,2631300.0
2026-02,D-032,Ron Defensor,1,162900.0,114400.0
2026-02,D-033,Ron Defensor,12,1954600.0,1372800.0
2026-02,D-034,Ron Defensor,7,1140200.0,800800.0
2026-02,D-035,Ron Defensor,5,814400.0,572000.0
2026-02,D-036,Ron Defensor,19,3094700.0,2173700.0
2026-02,D-042,Ron Defensor,18,2931800.0,2059300.0
2026-02,D-002,Marcel Thorel,12,1116900.0,802800.0
2026-02,D-008,Marcel Thorel,12,1116900.0,802800.0
2026-02,D-010,Marcel Thorel,17,1582300.0,1137300.0
2026-02,D-012,Marcel Thorel,12,1116900.0,802800.0
2026-02,D-013,Marcel Thorel,67,6236000.0,4482100.0
2026-02,D-014,Marcel Thorel,16,1489200.0,1070400.0
2026-02,D-019,Marcel Thorel,10,930700.0,669000.0
2026-02,D-023,Marcel Thorel,13,1210000.0,869700.0
2026-02,D-026,Marcel Thorel,37,3443700.0,2475200.0
2026-02,D-028,Marcel Thorel,33,3071400.0,2207600.0
2026-02,D-031,Marcel Thorel,20,1861500.0,1337900.0
2026-02,D-033,Marcel Thorel,9,837700.0,602100.0
2026-02,D-034,Marcel Thorel,5,465400.0,334500.0
2026-02,D-036,Marcel Thorel,18,1675300.0,1204100.0
2026-02,D-037,Marcel Thorel,24,2233800.0,1605500.0
2026-02,D-039,Marcel Thorel,5,465400.0,334500.0
2026-02,D-040,Marcel Thorel,24,2233800.0,1605500.0
2026-02,D-042,Marcel Thorel,18,1675300.0,1204100.0
2026-02,D-043,Marcel Thorel,17,1582300.0,1137300.0
2026-02,D-002,Mil Demonios,10,688400.0,479900.0
2026-02,D-004,Mil Demonios,14,963700.0,671900.0
2026-02,D-007,Mil Demonios,3,206500.0,144000.0
2026-02,D-010,Mil Demonios,11,757200.0,527900.0
2026-02,D-012,Mil Demonios,14,963700.0,671900.0
2026-02,D-013,Mil Demonios,21,1445600.0,1007800.0
2026-02,D-014,Mil Demonios,16,1101400.0,767900.0
2026-02,D-016,Mil Demonios,7,481900.0,335900.0
2026-02,D-017,Mil Demonios,4,275300.0,192000.0
2026-02,D-018,Mil Demonios,14,963700.0,671900.0
2026-02,D-019,Mil Demonios,5,344200.0,240000.0
2026-02,D-020,Mil Demonios,2,137700.0,96000.0
2026-02,D-022,Mil Demonios,16,1101400.0,767900.0
2026-02,D-023,Mil Demonios,6,413000.0,287900.0
2026-02,D-026,Mil Demonios,14,963700.0,671900.0
2026-02,D-027,Mil Demonios,27,1858600.0,1295800.0
2026-02,D-028,Mil Demonios,18,1239100.0,863800.0
2026-02,D-030,Mil Demonios,2,137700.0,96000.0
2026-02,D-031,Mil Demonios,10,688400.0,479900.0
2026-02,D-034,Mil Demonios,2,137700.0,96000.0
2026-02,D-037,Mil Demonios,14,963700.0,671900.0
2026-02,D-039,Mil Demonios,14,963700.0,671900.0
2026-02,D-040,Mil Demonios,15,1032500.0,719900.0
2026-02,D-043,Mil Demonios,12,826000.0,575900.0
2026-02,D-045,Mil Demonios,14,963700.0,671900.0
2026-03,D-002,Ron Defensor,13,2126200.0,1493400.0
2026-03,D-004,Ron Defensor,21,3434600.0,2412400.0
2026-03,D-010,Ron Defensor,16,2616800.0,1838000.0
2026-03,D-012,Ron Defensor,29,4743000.0,3331400.0
2026-03,D-013,Ron Defensor,41,6705600.0,4709900.0
2026-03,D-019,Ron Defensor,7,1144900.0,804100.0
2026-03,D-021,Ron Defensor,10,1635500.0,1148700.0
2026-03,D-022,Ron Defensor,16,2616800.0,1838000.0
2026-03,D-023,Ron Defensor,5,817800.0,574400.0
2026-03,D-025,Ron Defensor,9,1472000.0,1033900.0
2026-03,D-027,Ron Defensor,32,5233600.0,3676000.0
2026-03,D-028,Ron Defensor,25,4088800.0,2871900.0
2026-03,D-031,Ron Defensor,13,2126200.0,1493400.0
2026-03,D-033,Ron Defensor,25,4088800.0,2871900.0
2026-03,D-034,Ron Defensor,5,817800.0,574400.0
2026-03,D-035,Ron Defensor,9,1472000.0,1033900.0
2026-03,D-037,Ron Defensor,8,1308400.0,919000.0
2026-03,D-038,Ron Defensor,2,327100.0,229700.0
2026-03,D-039,Ron Defensor,16,2616800.0,1838000.0
2026-03,D-040,Ron Defensor,11,1799100.0,1263600.0
2026-03,D-042,Ron Defensor,40,6542000.0,4595000.0
2026-03,D-043,Ron Defensor,22,3598100.0,2527200.0
2026-03,D-046,Ron Defensor,7,1144900.0,804100.0
2026-03,D-049,Ron Defensor,3,490700.0,344600.0
2026-03,D-004,Marcel Thorel,16,1495300.0,1074800.0
2026-03,D-005,Marcel Thorel,6,560700.0,403000.0
2026-03,D-007,Marcel Thorel,21,1962600.0,1410600.0
2026-03,D-010,Marcel Thorel,13,1214900.0,873200.0
2026-03,D-011,Marcel Thorel,9,841100.0,604600.0
2026-03,D-012,Marcel Thorel,33,3084100.0,2216700.0
2026-03,D-013,Marcel Thorel,6,560700.0,403000.0
2026-03,D-014,Marcel Thorel,10,934600.0,671700.0
2026-03,D-017,Marcel Thorel,8,747700.0,537400.0
