sku,nombre,categoria,marca,proveedor,ml,precio_classic,precio_elite,pvp_mercado,costo_unit,exclusiva,precio_observado,unidades_90d,stock_u
KY-0031,Whisky Royal Salute 21 años Polo,Whisky,Royal Salute,Pernod Ricard,700,1061600.0,978000.0,1075600.0,787660.0,False,False,6,4
KY-0032,Whisky Bulleit Bourbon,Whisky,Bulleit,Diageo,700,137800.0,116700.0,146000.0,107850.0,False,False,16,11
KY-0033,Whisky Chivas Regal 18 años,Whisky,Chivas Regal,Pernod Ricard,700,488500.0,421900.0,499300.0,363560.0,False,False,7,6
KY-0034,Whisky Macallan 12 Double Cask,Whisky,Macallan,Otros importadores,700,357900.0,335100.0,373100.0,270500.0,False,False,42,20
KY-0035,Whisky Glenfiddich 12 años,Whisky,Glenfiddich,Otros importadores,700,196700.0,191400.0,197000.0,152680.0,False,False,0,9
KY-0036,Whisky The Glenlivet 18 años,Whisky,The Glenlivet,Pernod Ricard,700,652200.0,589800.0,702500.0,528040.0,False,False,7,6
KY-0037,Whisky Royal Salute 21 años,Whisky,Royal Salute,Pernod Ricard,700,893200.0,840400.0,942800.0,672950.0,False,False,7,5
KY-0038,Whisky Jack Daniel's Single Barrel,Whisky,Jack Daniel's,Otros importadores,700,159800.0,145400.0,170800.0,121180.0,False,False,28,16
KY-0039,Whisky Black & White,Whisky,Black & White,Diageo,700,68700.0,63400.0,74800.0,52300.0,False,False,28,14
KY-0040,Whisky Talisker 10 años,Whisky,Talisker,Diageo,700,204400.0,181700.0,218000.0,151050.0,False,False,1,1
KY-0041,Whisky Jack Daniel's Honey,Whisky,Jack Daniel's,Otros importadores,700,169400.0,152800.0,175900.0,133350.0,False,False,15,12
KY-0042,Whisky Glenmorangie 10 años,Whisky,Glenmorangie,Otros importadores,700,182400.0,175700.0,191700.0,135880.0,False,False,2,2
KY-0043,Whisky Woodford Reserve,Whisky,Woodford Reserve,Otros importadores,700,181100.0,164700.0,195200.0,144980.0,False,False,25,18
KY-0044,Whisky Old Parr Silver,Whisky,Old Parr,Diageo,700,151700.0,135600.0,160100.0,117330.0,False,False,9,8
KY-0045,Whisky Buchanan's 18 años,Whisky,Buchanan's,Diageo,700,646700.0,580600.0,701700.0,463180.0,False,False,7,5
KY-0046,Whisky Johnnie Walker Double Black,Whisky,Johnnie Walker,Diageo,700,142300.0,129000.0,149900.0,101830.0,False,False,20,9
KY-0047,Whisky Macallan 18 Sherry Oak,Whisky,Macallan,Otros importadores,700,1051800.0,1018400.0,1126700.0,789580.0,False,False,0,4
KY-0048,Whisky Ballantine's Finest,Whisky,Ballantine's,Pernod Ricard,700,93700.0,89400.0,95700.0,74060.0,False,False,0,7
KY-0049,Whisky The Glenlivet 15 años,Whisky,The Glenlivet,Pernod Ricard,700,292100.0,258100.0,300700.0,222850.0,False,False,17,10
KY-0050,Whisky Aberlour 12 años,Whisky,Aberlour,Pernod Ricard,700,183600.0,167900.0,197600.0,135440.0,False,False,40,21
KY-0051,Whisky Jameson,Whisky,Jameson,Pernod Ricard,700,80400.0,73800.0,83400.0,60610.0,False,False,11,6
KY-0052,Whisky Johnnie Walker Black Label,Whisky,Johnnie Walker,Diageo,700,123800.0,109800.0,126900.0,93630.0,False,False,68,43
KY-0053,Whisky Jameson Black Barrel,Whisky,Jameson,Pernod Ricard,700,88500.0,76400.0,96000.0,66690.0,False,False,14,11
KY-0054,Whisky Glenfiddich 18 años,Whisky,Glenfiddich,Otros importadores,700,442300.0,416400.0,477700.0,342540.0,False,False,0,19
KY-0055,Whisky Johnnie Walker Gold Reserve,Whisky,Johnnie Walker,Diageo,700,157800.0,133500.0,164700.0,115970.0,False,False,3,2
KY-0056,Whisky Dewar's 12 años,Whisky,Dewar's,Bacardí,700,84500.0,82800.0,89700.0,66790.0,False,False,38,19
KY-0057,Whisky Old Parr 18 años,Whisky,Old Parr,Diageo,700,456600.0,392900.0,458400.0,355790.0,False,False,2,2
KY-0058,Whisky Chivas Regal Mizunara,Whisky,Chivas Regal,Pernod Ricard,700,610000.0,535300.0,633400.0,497630.0,False,False,47,31
KY-0059,Whisky Maker's Mark,Whisky,Maker's Mark,Otros importadores,700,135500.0,124600.0,144000.0,107430.0,False,False,19,9
KY-0060,Whisky The Singleton 12 años,Whisky,The Singleton,Diageo,700,185100.0,157400.0,189800.0,148800.0,False,False,0,5
KY-0061,Whisky Jack Daniel's Gentleman Jack,Whisky,Jack Daniel's,Otros importadores,700,148700.0,135700.0,159800.0,113270.0,False,False,386,311
KY-0062,Whisky Ballantine's 12 años,Whisky,Ballantine's,Pernod Ricard,700,82000.0,73500.0,82600.0,62330.0,False,False,29,20
KY-0063,Whisky Lagavulin 16 años,Whisky,Lagavulin,Diageo,700,351200.0,311300.0,371400.0,274650.0,False,False,39,25
KY-0064,Whisky Jack Daniel's Fire,Whisky,Jack Daniel's,Otros importadores,700,198200.0,185000.0,212700.0,160110.0,False,False,27,15
KY-0065,Whisky Dewar's White Label,Whisky,Dewar's,Bacardí,700,71500.0,66200.0,72000.0,53910.0,False,False,9,6
KY-0066,Whisky Macallan 15 Double Cask,Whisky,Macallan,Otros importadores,700,524400.0,485300.0,542100.0,395460.0,False,False,11,5
KY-0067,Whisky Something Special,Whisky,Something Special,Pernod Ricard,700,58100.0,53900.0,61400.0,46290.0,False,False,10,8
KY-0068,Whisky Johnnie Walker Blue Label,Whisky,Johnnie Walker,Diageo,700,909300.0,891100.0,936800.0,676200.0,False,False,14,11
KY-0069,Whisky Royal Salute 21 años 1000 ml,Whisky,Royal Salute,Pernod Ricard,1000,1205900.0,1057300.0,1285000.0,861180.0,False,False,94,64
KY-0070,Whisky Johnnie Walker Gold Reserve 1000 ml,Whisky,Johnnie Walker,Diageo,1000,478000.0,424800.0,489300.0,379010.0,False,False,10,7
KY-0071,Whisky Macallan 18 Sherry Oak 1000 ml,Whisky,Macallan,Otros importadores,1000,800800.0,773600.0,864900.0,682660.0,False,False,0,14
KY-0072,Whisky Talisker 10 años 1000 ml,Whisky,Talisker,Diageo,1000,254600.0,234400.0,269600.0,199850.0,False,False,0,11
KY-0073,Whisky Woodford Reserve 1000 ml,Whisky,Woodford Reserve,Otros importadores,1000,299700.0,277800.0,322100.0,230410.0,False,False,0,7
KY-0074,Whisky Jack Daniel's Fire 1000 ml,Whisky,Jack Daniel's,Otros importadores,1000,163900.0,160000.0,175300.0,117070.0,False,False,23,16
KY-0075,Whisky Johnnie Walker 18 años 1000 ml,Whisky,Johnnie Walker,Diageo,1000,684900.0,581900.0,723700.0,524160.0,False,False,4,3
KY-0076,Whisky Jack Daniel's Gentleman Jack 1000 ml,Whisky,Jack Daniel's,Otros importadores,1000,201700.0,191000.0,202400.0,159430.0,False,False,1,1
KY-0077,Whisky Black & White 1000 ml,Whisky,Black & White,Diageo,1000,69500.0,57000.0,72600.0,53590.0,False,False,0,19
KY-0078,Whisky Something Special 1000 ml,Whisky,Something Special,Pernod Ricard,1000,91500.0,84700.0,96800.0,69180.0,False,False,23,11
KY-0079,Whisky Jack Daniel's Honey 1000 ml,Whisky,Jack Daniel's,Otros importadores,1000,261800.0,243100.0,268600.0,208950.0,False,False,20,9
KY-0080,Whisky Old Parr 18 años 1000 ml,Whisky,Old Parr,Diageo,1000,559300.0,491300.0,605400.0,430410.0,False,False,34,23
KY-0081,Whisky Jameson 1000 ml,Whisky,Jameson,Pernod Ricard,1000,227500.0,186000.0,229200.0,178340.0,False,False,91,37
KY-0082,Whisky Ballantine's 12 años 1000 ml,Whisky,Ballantine's,Pernod Ricard,1000,91600.0,81200.0,94900.0,70680.0,False,False,17,9
KY-0083,Whisky Glenfiddich 18 años 1000 ml,Whisky,Glenfiddich,Otros importadores,1000,656100.0,604000.0,704600.0,480660.0,False,False,15,12
KY-0084,Whisky Buchanan's Master 1000 ml,Whisky,Buchanan's,Diageo,1000,326700.0,286400.0,346400.0,250180.0,False,False,24,18
KY-0085,Whisky Aberlour 12 años 1000 ml,Whisky,Aberlour,Pernod Ricard,1000,276600.0,246400.0,299600.0,222330.0,False,False,30,16
KY-0086,Whisky Ballantine's Finest 1000 ml,Whisky,Ballantine's,Pernod Ricard,1000,136100.0,124300.0,137000.0,105400.0,False,False,0,3
KY-0087,Whisky The Glenlivet 18 años 1000 ml,Whisky,The Glenlivet,Pernod Ricard,1000,641800.0,588000.0,673200.0,491050.0,False,False,11,6
KY-0088,Whisky Chivas Regal Mizunara 1000 ml,Whisky,Chivas Regal,Pernod Ricard,1000,588700.0,502000.0,606100.0,468080.0,False,False,1,1
KY-0089,Whisky Monkey Shoulder 1000 ml,Whisky,Monkey Shoulder,Otros importadores,1000,211400.0,201400.0,225700.0,152370.0,False,False,42,29
KY-0090,Whisky Dewar's 15 años 1000 ml,Whisky,Dewar's,Bacardí,1000,420900.0,385500.0,450100.0,343610.0,False,False,14,10
KY-0091,Whisky The Glenlivet Caribbean Reserve 1000 ml,Whisky,The Glenlivet,Pernod Ricard,1000,374700.0,333000.0,379200.0,299690.0,False,False,0,16
KY-0092,Whisky Johnnie Walker Blue Label 1000 ml,Whisky,Johnnie Walker,Diageo,1000,823200.0,727800.0,831100.0,667670.0,False,False,6,5
KY-0093,Whisky Glenfiddich 15 años 1000 ml,Whisky,Glenfiddich,Otros importadores,1000,278500.0,270100.0,298700.0,216390.0,False,False,17,11
KY-0094,Whisky Dewar's White Label 1000 ml,Whisky,Dewar's,Bacardí,1000,113200.0,104500.0,116100.0,84820.0,False,False,0,6
KY-0095,Whisky Jameson Black Barrel 1000 ml,Whisky,Jameson,Pernod Ricard,1000,118100.0,111400.0,127100.0,89300.0,False,False,15,12
KY-0096,Whisky Glenfiddich 12 años 1000 ml,Whisky,Glenfiddich,Otros importadores,1000,225500.0,218800.0,239800.0,160580.0,False,False,31,24
KY-0097,Whisky Buchanan's Two Souls 1000 ml,Whisky,Buchanan's,Diageo,1000,482800.0,419900.0,488800.0,365760.0,False,False,7,4
KY-0098,Whisky Glenmorangie 10 años 1000 ml,Whisky,Glenmorangie,Otros importadores,1000,330000.0,309600.0,347100.0,253330.0,False,False,0,5
KY-0099,Vino Norton Merlot,Vino,Norton,Global Wine & Spirits,750,45800.0,44900.0,49100.0,29670.0,False,False,18,10
KY-0100,Vino Beronia Tempranillo,Vino,Beronia,Global Wine & Spirits,750,83400.0,73300.0,90000.0,60790.0,False,False,128,71
KY-0101,Vino Protos Merlot,Vino,Protos,Marpico,750,135500.0,123400.0,144300.0,95570.0,False,False,11,6
KY-0102,Vino Protos Tempranillo,Vino,Protos,Marpico,750,128500.0,120700.0,132100.0,92270.0,False,False,0,7
KY-0103,Vino Ramón Bilbao Tempranillo,Vino,Ramón Bilbao,Global Wine & Spirits,750,110700.0,106300.0,113900.0,80200.0,False,False,51,42
KY-0104,Vino Undurraga Sauvignon Blanc,Vino,Undurraga,Global Wine & Spirits,750,27700.0,27000.0,28800.0,20350.0,False,False,36,19
KY-0105,Vino Norton Carménère,Vino,Norton,Global Wine & Spirits,750,48700.0,47700.0,52900.0,36060.0,False,False,0,11
KY-0106,Vino Montes Sauvignon Blanc,Vino,Montes,Global Wine & Spirits,750,76000.0,70000.0,76200.0,51180.0,False,False,25,14
KY-0107,Vino Catena Rosé,Vino,Catena,Marpico,750,116900.0,104100.0,124200.0,83210.0,False,False,14,7
KY-0108,Vino Norton Malbec,Vino,Norton,Global Wine & Spirits,750,56600.0,51400.0,61200.0,38330.0,False,False,0,19
KY-0109,Vino Alamos Tempranillo,Vino,Alamos,Marpico,750,54700.0,53600.0,57000.0,39830.0,False,False,11,6
KY-0110,Vino Castillo de Molina Chardonnay,Vino,Castillo de Molina,Otros importadores,750,65000.0,63700.0,70800.0,43490.0,False,False,0,17
KY-0111,Vino Santa Carolina Sauvignon Blanc,Vino,Santa Carolina,Global Wine & Spirits,750,36200.0,35100.0,39400.0,25560.0,False,False,20,11
KY-0112,Vino Norton Sauvignon Blanc,Vino,Norton,Global Wine & Spirits,750,51900.0,49000.0,54500.0,38780.0,False,False,13,6
KY-0113,Vino Marqués de Casa Concha Chardonnay,Vino,Marqués de Casa Concha,Otros importadores,750,91300.0,80500.0,99000.0,59650.0,False,False,18,10
KY-0114,Vino Castillo de Molina Cabernet Sauvignon,Vino,Castillo de Molina,Otros importadores,750,55700.0,52700.0,59400.0,35410.0,False,False,9,4
KY-0115,Vino Beronia Merlot,Vino,Beronia,Global Wine & Spirits,750,78400.0,75700.0,78600.0,52370.0,False,False,22,12
KY-0116,Vino Marqués de Riscal Carménère,Vino,Marqués de Riscal,Marpico,750,94200.0,88500.0,99900.0,67080.0,False,False,1,1
KY-0117,Vino Trapiche Carménère,Vino,Trapiche,Marpico,750,36700.0,33600.0,37200.0,27380.0,False,False,11,5
KY-0118,Vino Emiliana Tempranillo,Vino,Emiliana,Marpico,750,68500.0,63200.0,69700.0,48220.0,False,False,0,20
KY-0119,Vino Norton Chardonnay,Vino,Norton,Global Wine & Spirits,750,33800.0,32500.0,36500.0,24360.0,False,False,14,6
KY-0120,Vino Ramón Bilbao Merlot,Vino,Ramón Bilbao,Global Wine & Spirits,750,93100.0,84400.0,98200.0,58700.0,False,False,9,4
KY-0121,Vino Santa Carolina Merlot,Vino,Santa Carolina,Global Wine & Spirits,750,38900.0,36500.0,38900.0,27010.0,False,False,0,22
KY-0122,Vino Rutini Cabernet Sauvignon,Vino,Rutini,Marpico,750,110000.0,102000.0,118200.0,76070.0,False,False,13,7
KY-0123,Vino Castillo de Molina Carménère,Vino,Castillo de Molina,Otros importadores,750,53600.0,47900.0,53600.0,36060.0,False,False,7,4
KY-0124,Vino Luigi Bosca Malbec,Vino,Luigi Bosca,Global Wine & Spirits,750,83400.0,77400.0,83500.0,56720.0,False,False,39,26
KY-0125,Vino Santa Rita 120 Merlot,Vino,Santa Rita 120,Global Wine & Spirits,750,47600.0,42200.0,48200.0,30860.0,False,False,48,25
KY-0126,Vino Santa Rita 120 Cabernet Sauvignon,Vino,Santa Rita 120,Global Wine & Spirits,750,37200.0,36300.0,38500.0,26950.0,False,False,25,21
KY-0127,Vino Emiliana Merlot,Vino,Emiliana,Marpico,750,57100.0,55400.0,58300.0,39140.0,False,False,25,18
KY-0128,Vino Marqués de Casa Concha Merlot,Vino,Marqués de Casa Concha,Otros importadores,750,98900.0,96900.0,103800.0,69040.0,False,False,6,4
KY-0129,Vino Emiliana Chardonnay,Vino,Emiliana,Marpico,750,46800.0,43600.0,48800.0,33670.0,False,False,0,7
KY-0130,Vino Luigi Bosca Rosé,Vino,Luigi Bosca,Global Wine & Spirits,750,66700.0,61500.0,69800.0,42040.0,False,False,12,6
KY-0131,Vino Luigi Bosca Sauvignon Blanc,Vino,Luigi Bosca,Global Wine & Spirits,750,74600.0,69300.0,80500.0,57250.0,False,False,68,30
KY-0132,Vino Catena Carménère,Vino,Catena,Marpico,750,91500.0,86500.0,95600.0,60810.0,False,False,1,1
KY-0133,Vino Luigi Bosca Merlot,Vino,Luigi Bosca,Global Wine & Spirits,750,131900.0,123800.0,134300.0,89710.0,False,False,1,1
KY-0134,Vino Campo Viejo Cabernet Sauvignon,Vino,Campo Viejo,Pernod Ricard,750,46800.0,42000.0,46900.0,35260.0,False,False,16,12
KY-0135,Vino Santa Carolina Cabernet Sauvignon,Vino,Santa Carolina,Global Wine & Spirits,750,40400.0,36500.0,40900.0,29690.0,False,False,55,41
KY-0136,Vino Beronia Cabernet Sauvignon,Vino,Beronia,Global Wine & Spirits,750,85400.0,81400.0,91400.0,56780.0,False,False,15,10
KY-0137,Vino Montes Chardonnay,Vino,Montes,Global Wine & Spirits,750,79900.0,68200.0,80700.0,56620.0,False,False,16,12
KY-0138,Vino Santa Rita 120 Malbec,Vino,Santa Rita 120,Global Wine & Spirits,750,33600.0,31400.0,36400.0,22620.0,False,False,15,13
KY-0139,Vino Castillo de Molina Tempranillo,Vino,Castillo de Molina,Otros importadores,750,53400.0,48700.0,53900.0,38270.0,False,False,9,6
KY-0140,Vino Ramón Bilbao Cabernet Sauvignon,Vino,Ramón Bilbao,Global Wine & Spirits,750,68900.0,67100.0,72300.0,44250.0,False,False,14,7
KY-0141,Vino Beronia Rosé,Vino,Beronia,Global Wine & Spirits,750,60800.0,54800.0,63300.0,44000.0,False,False,0,22
KY-0142,Vino Montes Cabernet Sauvignon,Vino,Montes,Global Wine & Spirits,750,118000.0,112100.0,128300.0,77490.0,False,False,26,12
KY-0143,Vino Mouton Cadet Tempranillo,Vino,Mouton Cadet,Otros importadores,750,79800.0,78200.0,84400.0,56120.0,False,False,12,8
KY-0144,Vino Marqués de Casa Concha Cabernet Sauvignon,Vino,Marqués de Casa Concha,Otros importadores,750,100400.0,93100.0,103500.0,65290.0,False,False,88,44
KY-0145,Vino Catena Merlot,Vino,Catena,Marpico,750,75700.0,69900.0,76600.0,54230.0,False,False,19,10
KY-0146,Vino Emiliana Malbec,Vino,Emiliana,Marpico,750,43000.0,39400.0,44700.0,31120.0,False,False,0,21
KY-0147,Vino Mouton Cadet Cabernet Sauvignon,Vino,Mouton Cadet,Otros importadores,750,53600.0,47600.0,57700.0,35710.0,False,False,10,7
KY-0148,Vino Alamos Sauvignon Blanc,Vino,Alamos,Marpico,750,65700.0,64400.0,69300.0,45710.0,False,False,0,18
KY-0149,Vino Campo Viejo Merlot,Vino,Campo Viejo,Pernod Ricard,750,45900.0,39200.0,46100.0,33110.0,False,False,12,10
KY-0150,Vino Marqués de Riscal Malbec,Vino,Marqués de Riscal,Marpico,750,82300.0,80700.0,89300.0,59400.0,False,False,0,22
KY-0151,Vino Protos Sauvignon Blanc,Vino,Protos,Marpico,750,123300.0,115900.0,128200.0,84330.0,False,False,0,19
KY-0152,Vino Casillero del Diablo Carménère,Vino,Casillero del Diablo,Otros importadores,750,35500.0,33100.0,37000.0,25540.0,False,False,0,8
KY-0153,Vino Marqués de Casa Concha Rosé,Vino,Marqués de Casa Concha,Otros importadores,750,89000.0,80000.0,91300.0,62450.0,False,False,6,5
KY-0154,Vino Santa Rita 120 Sauvignon Blanc,Vino,Santa Rita 120,Global Wine & Spirits,750,45700.0,43300.0,48200.0,32040.0,False,False,20,14
KY-0155,Vino Marqués de Casa Concha Malbec,Vino,Marqués de Casa Concha,Otros importadores,750,71500.0,70100.0,77800.0,51160.0,False,False,16,9
KY-0156,Vino Rutini Sauvignon Blanc,Vino,Rutini,Marpico,750,123200.0,112100.0,129400.0,85840.0,False,False,1,1
KY-0157,Vino Mouton Cadet Malbec,Vino,Mouton Cadet,Otros importadores,750,65600.0,64200.0,70700.0,48740.0,False,False,13,9
KY-0158,Vino Montes Merlot,Vino,Montes,Global Wine & Spirits,750,103100.0,97700.0,106000.0,66470.0,False,False,13,10
KY-0159,Vino Undurraga Merlot,Vino,Undurraga,Global Wine & Spirits,750,42900.0,42000.0,44100.0,30810.0,False,False,0,3
KY-0160,Vino Rutini Rosé,Vino,Rutini,Marpico,750,113000.0,104800.0,113800.0,78890.0,False,False,0,14
KY-0161,Vino Campo Viejo Chardonnay,Vino,Campo Viejo,Pernod Ricard,750,60400.0,49800.0,63800.0,43730.0,False,False,1,1
KY-0162,Vino Catena Chardonnay,Vino,Catena,Marpico,750,105800.0,103300.0,109300.0,73460.0,False,False,3,3
KY-0163,Vino Santa Carolina Rosé,Vino,Santa Carolina,Global Wine & Spirits,750,38900.0,34500.0,42000.0,26890.0,False,False,0,12
KY-0164,Vino Ramón Bilbao Sauvignon Blanc,Vino,Ramón Bilbao,Global Wine & Spirits,750,98200.0,96200.0,101800.0,69600.0,False,False,1,1
KY-0165,Vino Rutini Malbec,Vino,Rutini,Marpico,750,116200.0,108300.0,119200.0,80340.0,False,False,30,16
KY-0166,Vino Alamos Malbec,Vino,Alamos,Marpico,750,61000.0,59800.0,64400.0,42440.0,False,False,42,25
KY-0167,Vino Rutini Carménère,Vino,Rutini,Marpico,750,85000.0,79500.0,92300.0,55560.0,False,False,0,3
KY-0168,Vino Castillo de Molina Malbec,Vino,Castillo de Molina,Otros importadores,750,43000.0,38000.0,46300.0,28600.0,False,False,19,12
KY-0169,Vino Trapiche Rosé,Vino,Trapiche,Marpico,750,49900.0,45900.0,54000.0,34580.0,False,False,40,29
KY-0170,Vino Undurraga Chardonnay,Vino,Undurraga,Global Wine & Spirits,750,40900.0,37600.0,44200.0,26730.0,False,False,0,17
KY-0171,Vino Emiliana Sauvignon Blanc,Vino,Emiliana,Marpico,750,52200.0,47900.0,52300.0,38280.0,False,False,0,13
KY-0172,Vino Campo Viejo Tempranillo,Vino,Campo Viejo,Pernod Ricard,750,57800.0,52200.0,60600.0,43440.0,False,False,16,10
KY-0173,Vino Mouton Cadet Chardonnay,Vino,Mouton Cadet,Otros importadores,750,76000.0,70100.0,80000.0,50490.0,False,False,43,21
KY-0174,Vino Protos Carménère,Vino,Protos,Marpico,750,129700.0,127100.0,130700.0,94050.0,False,False,0,18
KY-0175,Vino Marqués de Riscal Cabernet Sauvignon,Vino,Marqués de Riscal,Marpico,750,102500.0,100400.0,104800.0,76500.0,False,False,35,20
KY-0176,Vino Alamos Merlot,Vino,Alamos,Marpico,750,55200.0,54100.0,58500.0,36100.0,False,False,29,21
KY-0177,Vino Marqués de Riscal Chardonnay,Vino,Marqués de Riscal,Marpico,750,98300.0,92600.0,106100.0,65450.0,False,False,2,2
KY-0178,Vino Norton Rosé,Vino,Norton,Global Wine & Spirits,750,40800.0,37300.0,41000.0,28380.0,False,False,0,22
KY-0179,Vino Luigi Bosca Chardonnay,Vino,Luigi Bosca,Global Wine & Spirits,750,97100.0,93600.0,97900.0,71310.0,False,False,14,9
KY-0180,Vino Montes Carménère,Vino,Montes,Global Wine & Spirits,750,75500.0,69000.0,80500.0,52660.0,False,False,0,3
KY-0181,Vino Casillero del Diablo Cabernet Sauvignon,Vino,Casillero del Diablo,Otros importadores,750,42700.0,39100.0,46100.0,30680.0,False,False,14,8
KY-0182,Vino Santa Rita 120 Rosé,Vino,Santa Rita 120,Global Wine & Spirits,750,33400.0,30200.0,35700.0,23330.0,False,False,17,13
KY-0183,Vino Beronia Sauvignon Blanc,Vino,Beronia,Global Wine & Spirits,750,65900.0,64600.0,67800.0,44720.0,False,False,42,26
KY-0184,Vino Marqués de Riscal Rosé,Vino,Marqués de Riscal,Marpico,750,103000.0,100900.0,104400.0,69410.0,False,False,12,6
KY-0185,Vino Campo Viejo Rosé,Vino,Campo Viejo,Pernod Ricard,750,52800.0,43700.0,54300.0,36410.0,False,False,2,1
KY-0186,Vino Mouton Cadet Rosé,Vino,Mouton Cadet,Otros importadores,750,60300.0,54900.0,60800.0,39970.0,False,False,98,74
KY-0187,Vino Castillo de Molina Merlot,Vino,Castillo de Molina,Otros importadores,750,44300.0,40700.0,47700.0,31540.0,False,False,45,31
KY-0188,Vino Protos Chardonnay,Vino,Protos,Marpico,750,143900.0,131100.0,152500.0,97810.0,False,False,16,11
KY-0189,Vino Marqués de Riscal Sauvignon Blanc,Vino,Marqués de Riscal,Marpico,750,127000.0,120000.0,130700.0,89160.0,False,False,413,228
KY-0190,Vino Undurraga Carménère,Vino,Undurraga,Global Wine & Spirits,750,52300.0,50900.0,52800.0,36270.0,False,False,29,23
